locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJICCACA_00139	CDS	1281				membrane protein
IJICCACA_00140	CDS	1299				acyltransferase
IJICCACA_00141	CDS	414	vapC21_1			ribonuclease VapC21
IJICCACA_00142	CDS	195				Putative antitoxin VapB51
IJICCACA_00143	CDS	981	php			phosphotriesterase
IJICCACA_00144	CDS	1707	fadE4			acyl-CoA dehydrogenase FadE4
IJICCACA_00145	CDS	690				transcriptional regulator
IJICCACA_00146	CDS	945	nrdB			ribonucleoside-diphosphate reductase subunit beta NrdB
IJICCACA_00147	CDS	1374	gabD1			succinate-semialdehyde dehydrogenase
IJICCACA_00148	CDS	1449				transmembrane protein
IJICCACA_00149	CDS	4203	aftD			alpha-(1->3)-arabinofuranosyltransferase
IJICCACA_00150	CDS	174				Putative secreted protein.1
IJICCACA_00151	CDS	1167	lpqI			lipoprotein LpqI
IJICCACA_00152	CDS	567				transcriptional regulator
IJICCACA_00153	CDS	234	vapB24			antitoxin VapB24
IJICCACA_00154	CDS	438	vapC24			ribonuclease VapC24
IJICCACA_00155	CDS	843	htdX			3-hydroxyacyl-thioester dehydratase HtdX
IJICCACA_00156	CDS	1365	fabG4			3-oxoacyl-ACP reductase FabG
IJICCACA_00157	CDS	1323	fadA2			acetyl-CoA acetyltransferase FadA
IJICCACA_00158	misc_RNA	58				F6
IJICCACA_00159	CDS	1836	fadE5			acyl-CoA dehydrogenase FadE5
IJICCACA_00160	CDS	489				oxidoreductase
IJICCACA_00161	CDS	1311				integral membrane protein
IJICCACA_00162	CDS	747				succinate dehydrogenase iron-sulfur subunit
IJICCACA_00163	CDS	1941				succinate dehydrogenase flavoprotein subunit
IJICCACA_00164	CDS	822				succinate dehydrogenase membrane anchor subunit
IJICCACA_00165	CDS	294				putative protein
IJICCACA_00166	CDS	480	hsp			heat shock protein
IJICCACA_00167	CDS	2511	nirB			nitrite reductase large subunit NirB
IJICCACA_00168	CDS	357	nirD			nitrite reductase small subunit NirD
IJICCACA_00169	CDS	525	cobU			bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase
IJICCACA_00170	CDS	1485	cobQ1			cobyric acid synthase
IJICCACA_00171	CDS	1671	PPE2			PPE family protein PPE2
IJICCACA_00172	misc_RNA	174				Cobalamin
IJICCACA_00173	CDS	456				hypothetical protein
IJICCACA_00174	CDS	744	che1_1			ferrochelatase
IJICCACA_00175	CDS	1146				transcriptional regulator
IJICCACA_00176	CDS	1410	narK3			nitrate/nitrite transporter
IJICCACA_00177	CDS	546	aac			aminoglycoside 2'-N-acetyltransferase
IJICCACA_00178	CDS	903	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
IJICCACA_00179	CDS	654	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
IJICCACA_00180	CDS	993				iron ABC transporter substrate-binding lipoprotein
IJICCACA_00181	CDS	3630	oplA			5-oxoprolinase OplA
IJICCACA_00182	CDS	1392	narU			nitrite extrusion protein NarU
IJICCACA_00183	CDS	258				hypothetical protein
IJICCACA_00184	CDS	1194				hypothetical protein
IJICCACA_00185	CDS	1683	fadD2			fatty-acid--CoA ligase FadD2
IJICCACA_00186	CDS	2196	fadE6			acyl-CoA dehydrogenase FadE6
IJICCACA_00187	CDS	1134				hypothetical protein
IJICCACA_00188	CDS	621				transcriptional regulator
IJICCACA_00189	CDS	582				hypothetical protein
IJICCACA_00190	CDS	735				transcriptional regulator
IJICCACA_00191	CDS	921			COG3662	putative protein
IJICCACA_00192	CDS	429	vapC25			ribonuclease VapC25
IJICCACA_00193	CDS	2289				PE-PGRS family protein PE_PGRS3
IJICCACA_00194	CDS	441				hypothetical protein
IJICCACA_00195	CDS	357				hypothetical protein
IJICCACA_00196	CDS	147	mmsB_1			3-hydroxyisobutyrate dehydrogenase
IJICCACA_00197	CDS	507				transcriptional regulator
IJICCACA_00198	CDS	558				hypothetical protein
IJICCACA_00199	CDS	519				hypothetical protein
IJICCACA_00200	CDS	315				insertion sequence element IS1557 transposase
IJICCACA_00201	CDS	609				putative protein
IJICCACA_00202	CDS	804				hypothetical protein
IJICCACA_00203	CDS	537				putative protein
IJICCACA_00204	CDS	570				transcriptional regulator
IJICCACA_00205	CDS	753	rslA			anti-sigma-L factor RslA
IJICCACA_00206	CDS	534	sigL			ECF RNA polymerase sigma factor SigL
IJICCACA_00207	CDS	801	mapA			methionine aminopeptidase
IJICCACA_00208	CDS	546	adk			adenylate kinase
IJICCACA_00209	CDS	1326	secY			preprotein translocase SecY
IJICCACA_00210	CDS	957				S-adenosylmethionine-dependent methyltransferase
IJICCACA_00211	CDS	729				GCN5-like N-acetyltransferase
IJICCACA_00212	CDS	1347	xylB			D-xylulose kinase XylB
IJICCACA_00213	CDS	957	serA2			D-3-phosphoglycerate dehydrogenase SerA
IJICCACA_00214	CDS	657	fucA			L-fuculose phosphate aldolase FucA
IJICCACA_00215	CDS	1104				S-adenosylmethionine-dependent methyltransferase
IJICCACA_00216	CDS	906				hypothetical protein
IJICCACA_00217	CDS	1872	sppA			protease IV SppA
IJICCACA_00218	CDS	441	rplO			50S ribosomal protein L15
IJICCACA_00219	CDS	198	rpmD			50S ribosomal protein L30
IJICCACA_00220	CDS	663	rpsE			30S ribosomal protein S5
IJICCACA_00221	CDS	369	rplR			50S ribosomal protein L18
IJICCACA_00222	CDS	540	rplF			50S ribosomal protein L6
IJICCACA_00223	CDS	399	rpsH			30S ribosomal protein S8
IJICCACA_00224	CDS	186	rpsN1			30S ribosomal protein S14
IJICCACA_00225	CDS	564	rplE			50S ribosomal protein L5
IJICCACA_00226	CDS	318	rplX			50S ribosomal protein L24
IJICCACA_00227	CDS	369	rplN			50S ribosomal protein L14
IJICCACA_00228	CDS	861				transmembrane protein
IJICCACA_00229	CDS	900		1.8.3.7	COG1262	Formylglycine-generating enzyme
IJICCACA_00230	CDS	2364	atsA			arylsulfatase AtsA
IJICCACA_00231	CDS	408	rpsQ			30S ribosomal protein S17
IJICCACA_00232	CDS	234	rpmC			50S ribosomal protein L29
IJICCACA_00233	CDS	417	rplP			50S ribosomal protein L16
IJICCACA_00234	CDS	825	rpsC			30S ribosomal protein S3
IJICCACA_00235	CDS	594	rplV			50S ribosomal protein L22
IJICCACA_00236	CDS	282	rpsS			30S ribosomal protein S19
IJICCACA_00237	CDS	843	rplB			50S ribosomal protein L2
IJICCACA_00238	CDS	303	rplW			50S ribosomal protein L23
IJICCACA_00239	CDS	672	rplD			50S ribosomal protein L4
IJICCACA_00240	CDS	654	rplC			50S ribosomal protein L3
IJICCACA_00241	CDS	306	rpsJ			30S ribosomal protein S10
IJICCACA_00242	CDS	756				hypothetical protein
IJICCACA_00243	CDS	1359				dehydrogenase
IJICCACA_00244	CDS	1413				mycofactocin biosynthesis glycosyltransferase MftF
IJICCACA_00245	CDS	666				mycofactocin system creatinine amidohydrolase family protein MftE
IJICCACA_00246	CDS	1191				mycofactocin system heme/flavin oxidoreductase MftD
IJICCACA_00247	CDS	1176				mycofactocin radical SAM maturase MftC
IJICCACA_00248	CDS	330				mycofactocin system protein MftB
IJICCACA_00249	CDS	90				mycofactocin precursor
IJICCACA_00250	CDS	597				mycofactocin biosynthesis transcriptional regulator MftR
IJICCACA_00251	CDS	1050				hypothetical protein
IJICCACA_00252	CDS	249				hypothetical protein
IJICCACA_00253	CDS	1221				ferredoxin reductase
IJICCACA_00254	CDS	828				NAD-dependent oxidoreductase
IJICCACA_00255	CDS	798				membrane protein
IJICCACA_00256	CDS	1191	tuf			elongation factor Tu
IJICCACA_00257	CDS	2106	fusA1			elongation factor G
IJICCACA_00258	CDS	471	rpsG			30S ribosomal protein S7
IJICCACA_00259	CDS	375	rpsL			30S ribosomal protein S12
IJICCACA_00260	CDS	657				transcriptional regulator
IJICCACA_00261	CDS	375				transmembrane protein
IJICCACA_00262	CDS	498				hypothetical protein
IJICCACA_00263	CDS	498	mmpR5			HTH-type transcriptional regulator MmpR5
IJICCACA_00264	CDS	429	mmpS5			membrane protein MmpS5
IJICCACA_00265	CDS	2895	mmpL5			transmembrane transport protein MmpL5
IJICCACA_00266	CDS	792	echA5			enoyl-CoA hydratase EchA5
IJICCACA_00267	CDS	723				hypothetical protein
IJICCACA_00268	CDS	939	echA4			enoyl-CoA hydratase EchA4
IJICCACA_00269	CDS	1629	fadE8			acyl-CoA dehydrogenase FadE8
IJICCACA_00270	CDS	843	lpqP			lipoprotein LpqP
IJICCACA_00271	CDS	759	end			endonuclease IV
IJICCACA_00272	CDS	1914				neutral ceramidase
IJICCACA_00273	CDS	114	amiD_1			amidase
IJICCACA_00274	CDS	3951	rpoC			DNA-directed RNA polymerase subunit beta'
IJICCACA_00275	CDS	3519	rpoB			DNA-directed RNA polymerase subunit beta
IJICCACA_00276	CDS	114				hypothetical protein
IJICCACA_00277	CDS	339	vapC8			ribonuclease VapC8
IJICCACA_00278	CDS	273	vapB8			antitoxin VapB8
IJICCACA_00279	CDS	2364	atsD			arylsulfatase AtsD
IJICCACA_00280	CDS	255	vapB7			antitoxin VapB7
IJICCACA_00281	CDS	438	vapC7			ribonuclease VapC7
IJICCACA_00282	CDS	252	mazE2			antitoxin MazE2
IJICCACA_00283	CDS	234	mazF2			toxin MazF2
IJICCACA_00284	CDS	717				integral membrane protein
IJICCACA_00285	CDS	156	vapB6			antitoxin VapB6
IJICCACA_00286	CDS	252	vapC6			ribonuclease VapC6
IJICCACA_00287	CDS	1011	mkl			ABC transporter ATP-binding protein
IJICCACA_00288	CDS	1506				carotenoid cleavage oxygenase
IJICCACA_00289	CDS	696				transcriptional regulator
IJICCACA_00290	CDS	393	rplL			50S ribosomal protein L7/L12
IJICCACA_00291	CDS	537	rplJ			50S ribosomal protein L10
IJICCACA_00292	CDS	909				sugar kinase
IJICCACA_00293	CDS	675	fabD2			malonyl CoA-acyl carrier protein transacylase
IJICCACA_00294	CDS	3732				alpha-mannosidase
IJICCACA_00295	CDS	1467			COG0661	putative protein
IJICCACA_00296	CDS	906	lipG			lipase/esterase LipG
IJICCACA_00297	CDS	861	mmaA1			mycolic acid methyltransferase MmaA1
IJICCACA_00298	CDS	921	mmaA2			cyclopropane mycolic acid synthase CmaA
IJICCACA_00299	CDS	882	mmaA3			methoxy mycolic acid synthase MmaA3
IJICCACA_00300	CDS	897	mmaA4			hydroxymycolate synthase MmaA4
IJICCACA_00301	CDS	708	rplA			50S ribosomal protein L1
IJICCACA_00302	CDS	429	rplK			50S ribosomal protein L11
IJICCACA_00303	CDS	717	nusG			transcription termination/antitermination protein NusG
IJICCACA_00304	CDS	486	secE1			preprotein translocase SecE
IJICCACA_00305	tRNA	74				tRNA-Trp(cca)
IJICCACA_00306	CDS	501	hadC			(3R)-hydroxyacyl-ACP dehydratase subunit HadC
IJICCACA_00307	CDS	429	hadB			(3R)-hydroxyacyl-ACP dehydratase subunit HadB
IJICCACA_00308	CDS	477	hadA_1			(3R)-hydroxyacyl-ACP dehydratase subunit HadA
IJICCACA_00309	CDS	168	rpmG2			50S ribosomal protein L33
IJICCACA_00310	tRNA	75				tRNA-Met(cat)
IJICCACA_00311	tRNA	74				tRNA-Thr(ggt)
IJICCACA_00312	CDS	213			COG5450	putative proteinA
IJICCACA_00313	CDS	714				glyoxalase II
IJICCACA_00314	CDS	861				hypothetical protein
IJICCACA_00315	CDS	696	echA3			enoyl-CoA hydratase EchA3
IJICCACA_00316	CDS	3294	recC			exonuclease V subunit gamma RecC
IJICCACA_00317	CDS	3285	recB			exonuclease V subunit beta RecB
IJICCACA_00318	CDS	1728	recD			exonuclease V subunit alpha RecD
IJICCACA_00319	CDS	1152			COG4398	putative protein
IJICCACA_00320	CDS	408	vapC5			ribonuclease VapC5
IJICCACA_00321	CDS	261	vapB5			antitoxin VapB5
IJICCACA_00322	CDS	741				transmembrane protein
IJICCACA_00323	CDS	396	vapC30			ribonuclease VapC30
IJICCACA_00324	CDS	255	vapB30			antitoxin VapB30
IJICCACA_00325	CDS	948				membrane protein
IJICCACA_00326	CDS	1065				membrane protein
IJICCACA_00327	CDS	1092	galK			galactokinase
IJICCACA_00328	CDS	471	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
IJICCACA_00329	CDS	696				hypothetical protein
IJICCACA_00330	CDS	402	vapC29			ribonuclease VapC29
IJICCACA_00331	CDS	228	vapB29			antitoxin VapB29
IJICCACA_00332	CDS	240				integral membrane protein
IJICCACA_00333	CDS	750				hypothetical protein
IJICCACA_00334	CDS	2568				hypothetical protein
IJICCACA_00335	CDS	549				hypothetical protein
IJICCACA_00336	CDS	222				hypothetical protein
IJICCACA_00337	CDS	1158				hypothetical protein
IJICCACA_00338	CDS	198				putative proteinB
IJICCACA_00339	misc_RNA	61				b55
IJICCACA_00340	CDS	402	vapC28			ribonuclease VapC28
IJICCACA_00341	CDS	246	vapB28			antitoxin VapB28
IJICCACA_00342	CDS	471				hypothetical protein
IJICCACA_00343	CDS	744				transposase
IJICCACA_00344	CDS	585				IS1536 family serine type transposase
IJICCACA_00345	CDS	927	lpqO			lipoprotein LpqO
IJICCACA_00346	CDS	312				hypothetical protein
IJICCACA_00347	CDS	696	tcrA			two component DNA binding transcriptional regulator TcrA
IJICCACA_00348	CDS	531				two component sensor kinase HK2
IJICCACA_00349	CDS	507				two component sensor kinase HK1
IJICCACA_00350	CDS	237	vapB27			antitoxin VapB27
IJICCACA_00351	CDS	414	vapC27			ribonuclease VapC27
IJICCACA_00352	CDS	174				hypothetical protein
IJICCACA_00353	CDS	1236			COG1373	putative protein
IJICCACA_00354	CDS	258	vapB4			antitoxin VapB4
IJICCACA_00355	CDS	396	vapC4			ribonuclease VapC4
IJICCACA_00356	CDS	1551	mce2F			Mce family protein Mce2F
IJICCACA_00357	CDS	1197	lprL			Mce family lipoprotein LprL
IJICCACA_00358	CDS	1527	mce2D			Mce family protein Mce2D
IJICCACA_00359	CDS	1446	mce2C			Mce family protein Mce2C
IJICCACA_00360	CDS	255	mce1B_2			Mce family protein Mce1B
IJICCACA_00361	CDS	828	mce1B_3			Mce family protein Mce1B
IJICCACA_00362	CDS	1215	mce2A			Mce family protein Mce2A
IJICCACA_00363	CDS	888	yrbE1B_2			membrane protein
IJICCACA_00364	CDS	798	yrbE1A_2			membrane protein
IJICCACA_00365	CDS	723	mce2R			HTH-type transcriptional regulator Mce2R
IJICCACA_00366	CDS	2388				integral membrane protein
IJICCACA_00367	CDS	2634				glycosidase
IJICCACA_00368	CDS	687	lpqN			lipoprotein LpqN
IJICCACA_00369	CDS	408	vapC26			ribonuclease VapC26
IJICCACA_00370	CDS	216	vapB26			antitoxin VapB26
IJICCACA_00371	CDS	579				hypothetical protein
IJICCACA_00372	CDS	759				hypothetical protein
IJICCACA_00373	CDS	3921	PE_PGRS7			PE-PGRS family protein PE_PGRS7
IJICCACA_00374	CDS	786			COG3324	Putative glyoxylase CFP32
IJICCACA_00375	CDS	1305				transcriptional regulator
IJICCACA_00376	CDS	1167				oxidoreductase
IJICCACA_00377	CDS	1143			COG2843	putative polyglutamine synthesis accessory protein
IJICCACA_00378	CDS	1392	pncB2			nicotinic acid phosphoribosyltransferase PncB2
IJICCACA_00379	CDS	168				putative proteinA
IJICCACA_00380	CDS	342				putative protein
IJICCACA_00381	CDS	123				hypothetical protein
IJICCACA_00382	CDS	1332			COG1926	Putative phosphoribosyl transferase
IJICCACA_00383	CDS	2031	nrdZ			vitamin B12-dependent ribonucleoside-diphosphate reductase
IJICCACA_00384	CDS	267				putative protein
IJICCACA_00385	CDS	1401	cyp135B1			cytochrome P450 Cyp135B1
IJICCACA_00386	CDS	1023				methyltransferase/methylase
IJICCACA_00387	tRNA	84				tRNA-Tyr(gta)
IJICCACA_00388	CDS	492				hypothetical protein
IJICCACA_00389	CDS	1461				monooxygenase
IJICCACA_00390	CDS	1056	gpdA1			glycerol-3-phosphate dehydrogenase
IJICCACA_00391	CDS	861	htpX_1			protease HtpX
IJICCACA_00392	CDS	990	grcC1			polyprenyl-diphosphate synthase GrcC
IJICCACA_00393	CDS	1227				oxidoreductase
IJICCACA_00394	CDS	726				benzoquinone methyltransferase
IJICCACA_00395	CDS	339				putative protein
IJICCACA_00396	CDS	705	menH			demethylmenaquinone methyltransferase
IJICCACA_00397	CDS	1227	mgtA			GDP-mannose-dependent alpha-mannosyltransferase
IJICCACA_00398	CDS	516				transmembrane protein
IJICCACA_00399	CDS	1665	menD			bifunctional 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase/2-oxoglutarate decarboxylase
IJICCACA_00400	CDS	789	bpoC			non-heme bromoperoxidase BpoC
IJICCACA_00401	CDS	981	menC			muconate cycloisomerase
IJICCACA_00402	CDS	1605	nfdA	3.5.1.91		N-substituted formamide deformylase
IJICCACA_00403	CDS	1617	fadD8			fatty-acid--CoA ligase FadD8
IJICCACA_00404	CDS	219	vapB3			antitoxin VapB3
IJICCACA_00405	CDS	414	vapC3			ribonuclease VapC3
IJICCACA_00406	CDS	903	menB			1,4-dihydroxy-2-naphthoyl-CoA synthase
IJICCACA_00407	CDS	834				oxidoreductase
IJICCACA_00408	CDS	387				hypothetical protein
IJICCACA_00409	CDS	1254	pitA			low-affinity inorganic phosphate transporter
IJICCACA_00410	CDS	279				transmembrane protein
IJICCACA_00411	CDS	303				hypothetical protein
IJICCACA_00412	CDS	1089	menE			2-succinylbenzoic acid--CoA ligase
IJICCACA_00413	CDS	1350				integral membrane protein
IJICCACA_00414	CDS	663				hypothetical protein
IJICCACA_00415	CDS	657				dolichyl-phosphate sugar synthase
IJICCACA_00416	CDS	1647				membrane protein
IJICCACA_00417	CDS	1434				integral membrane protein
IJICCACA_00418	CDS	1041	galE3			UDP-glucose 4-epimerase GalE
IJICCACA_00419	CDS	795				5'-methylthioadenosine phosphorylase
IJICCACA_00420	CDS	879	menA			1,4-dihydroxy-2-naphthoate octaprenyltransferase
IJICCACA_00421	CDS	1008	fabH			3-oxoacyl-ACP synthase III
IJICCACA_00422	CDS	375				hypothetical protein
IJICCACA_00423	CDS	1290	aspC			aspartate aminotransferase
IJICCACA_00424	CDS	2649				iron-sulfur-binding reductase
IJICCACA_00425	CDS	2451				transcriptional regulator
IJICCACA_00426	CDS	540				hypothetical protein
IJICCACA_00427	CDS	1440	iniB			isoniazid inducible protein IniB
IJICCACA_00428	CDS	1923	iniA			isoniazid inductible protein IniA
IJICCACA_00429	CDS	1482	iniC			iIsoniazid inductible protein IniC
IJICCACA_00430	CDS	561	lpqJ			lipoprotein LpqJ
IJICCACA_00431	CDS	417				hypothetical protein
IJICCACA_00432	CDS	1464	ansP2			L-asparagine permease
IJICCACA_00433	CDS	813				membrane protein
IJICCACA_00434	CDS	654				transcriptional regulator
IJICCACA_00435	CDS	660				hypothetical protein
IJICCACA_00436	CDS	1878	dnaK_1			chaperone protein DnaK
IJICCACA_00437	CDS	708	grpE			stress response protein GrpE
IJICCACA_00438	CDS	1188	dnaJ1			chaperone protein DnaJ
IJICCACA_00439	CDS	381	hspR			heat shock protein transcriptional repressor HspR
IJICCACA_00440	CDS	552				hypothetical protein
