# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PE_PGRS46	Rv2634c	Rv2634c	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PE_PGRS47	Rv2741	Rv2741	protein_coding	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1
PE_PGRS48	Rv2853	Rv2853	protein_coding	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0
PE_PGRS49	Rv3344c	Rv3344c	protein_coding	0	1	1	2	0	0	0	2	0	1	0	0	0	1	0
PE_PGRS5	Rv0297	Rv0297	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PE_PGRS50	Rv3345c	Rv3345c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PE_PGRS51	Rv3367	Rv3367	protein_coding	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0
PE_PGRS53	Rv3507	Rv3507	protein_coding	0	0	0	6	0	0	0	5	0	0	0	0	0	0	1
PE_PGRS54	Rv3508	Rv3508	protein_coding	0	3	2	2	0	0	0	2	0	2	0	0	0	3	0
PE_PGRS55	Rv3511	Rv3511	protein_coding	0	0	1	3	0	0	0	1	0	1	0	0	0	0	2
PE_PGRS56	Rv3512	Rv3512	protein_coding	0	1	0	6	0	0	0	4	0	0	0	0	0	1	2
PE_PGRS57	Rv3514	Rv3514	protein_coding	0	0	4	2	0	0	0	0	0	4	0	0	0	0	2
PE_PGRS58	Rv3590c	Rv3590c	protein_coding	0	5	5	0	0	0	0	0	0	5	0	0	0	5	0
PE_PGRS59	Rv3595c	Rv3595c	protein_coding	0	0	0	11	0	0	0	10	0	0	0	0	0	0	1
PE_PGRS6	Rv0532	Rv0532	protein_coding	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1
PE_PGRS60	Rv3652	Rv3652	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS61	Rv3653	Rv3653	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS62	Rv3812	Rv3812	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS7	Rv0578c	Rv0578c	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0
PE_PGRS8	Rv0742	Rv0742	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
PE_PGRS9	Rv0746	Rv0746	protein_coding	0	2	5	7	0	0	0	7	0	5	0	0	0	2	0
PPE10	Rv0442c	Rv0442c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPE11	Rv0453	Rv0453	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE13	Rv0878c	Rv0878c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPE14	Rv0915c	Rv0915c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE15	Rv1039c	Rv1039c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPE17	Rv1168c	Rv1168c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE19	Rv1361c	Rv1361c	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
PPE21	Rv1548c	Rv1548c	protein_coding	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1
PPE24	Rv1753c	Rv1753c	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0
PPE3	Rv0280	Rv0280	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12
PPE31	Rv1807	Rv1807	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PPE32	Rv1808	Rv1808	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PPE33	Rv1809	Rv1809	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
PPE36	Rv2108	Rv2108	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PPE37	Rv2123	Rv2123	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE41	Rv2430c	Rv2430c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPE42	Rv2608	Rv2608	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE43	Rv2768c	Rv2768c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE44	Rv2770c	Rv2770c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPE46	Rv3018c	Rv3018c	protein_coding	0	0	0	15	0	0	0	1	0	0	0	0	0	0	14
PPE47	Rv3021c	Rv3021c	protein_coding	4	7	3	0	0	0	0	0	4	3	0	0	0	7	0
PPE48	Rv3022c	Rv3022c	protein_coding	1	0	0	13	0	0	0	13	1	0	1	0	0	0	0
PPE49	Rv3125c	Rv3125c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PPE5	Rv0304c	Rv0304c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PPE50	Rv3135	Rv3135	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE51	Rv3136	Rv3136	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE54	Rv3343c	Rv3343c	protein_coding	0	0	2	2	0	0	0	0	0	2	0	0	0	0	2
PPE55	Rv3347c	Rv3347c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PPE56	Rv3350c	Rv3350c	protein_coding	0	0	2	2	0	0	0	2	0	2	0	0	0	0	0
PPE6	Rv0305c	Rv0305c	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PPE60	Rv3478	Rv3478	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPE61	Rv3532	Rv3532	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPE62	Rv3533c	Rv3533c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE63	Rv3539	Rv3539	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PPE64	Rv3558	Rv3558	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
PPE65	Rv3621c	Rv3621c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PPE7	Rv0354c	Rv0354c	protein_coding	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2
PPE8	Rv0355c	Rv0355c	protein_coding	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0
PPE9	Rv0388c	Rv0388c	protein_coding	2	2	7	0	0	0	0	0	2	7	0	0	0	2	0
Rv0007	Rv0007	Rv0007	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0008c	Rv0008c	Rv0008c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0010c	Rv0010c	Rv0010c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0011c	Rv0011c	Rv0011c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0012	Rv0012	Rv0012	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0021c	Rv0021c	Rv0021c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0023	Rv0023	Rv0023	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0024	Rv0024	Rv0024	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0025	Rv0025	Rv0025	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0047c	Rv0047c	Rv0047c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0048c	Rv0048c	Rv0048c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0049	Rv0049	Rv0049	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0051	Rv0051	Rv0051	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0052	Rv0052	Rv0052	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0057	Rv0057	Rv0057	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0061c	Rv0061c	Rv0061c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0063	Rv0063	Rv0063	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0064	Rv0064	Rv0064	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0067c	Rv0067c	Rv0067c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0102	Rv0102	Rv0102	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0108c	Rv0108c	Rv0108c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0110	Rv0110	Rv0110	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0111	Rv0111	Rv0111	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0133	Rv0133	Rv0133	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0135c	Rv0135c	Rv0135c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0138	Rv0138	Rv0138	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0139	Rv0139	Rv0139	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0175	Rv0175	Rv0175	protein_coding	0	0	0	5	0	0	0	4	0	0	0	0	0	0	1
Rv0176	Rv0176	Rv0176	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
Rv0177	Rv0177	Rv0177	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
Rv0178	Rv0178	Rv0178	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
Rv0180c	Rv0180c	Rv0180c	protein_coding	0	1	2	1	0	0	0	1	0	2	0	0	0	1	0
Rv0181c	Rv0181c	Rv0181c	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
Rv0183	Rv0183	Rv0183	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
Rv0184	Rv0184	Rv0184	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	4
Rv0185	Rv0185	Rv0185	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3
Rv0187	Rv0187	Rv0187	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0188	Rv0188	Rv0188	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0190	Rv0190	Rv0190	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
Rv0191	Rv0191	Rv0191	protein_coding	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1
Rv0192	Rv0192	Rv0192	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0192A	Rv0192A	Rv0192A	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0193c	Rv0193c	Rv0193c	protein_coding	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0
Rv0194	Rv0194	Rv0194	protein_coding	0	0	0	5	0	0	0	3	0	0	0	0	0	0	2
Rv0195	Rv0195	Rv0195	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
Rv0196	Rv0196	Rv0196	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
Rv0197	Rv0197	Rv0197	protein_coding	2	0	1	1	0	0	0	1	1	1	0	1	0	0	0
Rv0199	Rv0199	Rv0199	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	1	3
Rv0200	Rv0200	Rv0200	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
Rv0201c	Rv0201c	Rv0201c	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
Rv0203	Rv0203	Rv0203	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0204c	Rv0204c	Rv0204c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0205	Rv0205	Rv0205	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0207c	Rv0207c	Rv0207c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0208c	Rv0208c	Rv0208c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0209	Rv0209	Rv0209	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0210	Rv0210	Rv0210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0225	Rv0225	Rv0225	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0226c	Rv0226c	Rv0226c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0227c	Rv0227c	Rv0227c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0228	Rv0228	Rv0228	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0229c	Rv0229c	Rv0229c	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0232	Rv0232	Rv0232	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0235c	Rv0235c	Rv0235c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0236A	Rv0236A	Rv0236A	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0238	Rv0238	Rv0238	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0245	Rv0245	Rv0245	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0246	Rv0246	Rv0246	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0247c	Rv0247c	Rv0247c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0248c	Rv0248c	Rv0248c	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0249c	Rv0249c	Rv0249c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0250c	Rv0250c	Rv0250c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0272c	Rv0272c	Rv0272c	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
Rv0273c	Rv0273c	Rv0273c	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
Rv0274	Rv0274	Rv0274	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
Rv0275c	Rv0275c	Rv0275c	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
Rv0276	Rv0276	Rv0276	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0
Rv0281	Rv0281	Rv0281	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12
Rv0295c	Rv0295c	Rv0295c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0296c	Rv0296c	Rv0296c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0298	Rv0298	Rv0298	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0299	Rv0299	Rv0299	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0302	Rv0302	Rv0302	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0303	Rv0303	Rv0303	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0306	Rv0306	Rv0306	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0307c	Rv0307c	Rv0307c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0308	Rv0308	Rv0308	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0309	Rv0309	Rv0309	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0310c	Rv0310c	Rv0310c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0311	Rv0311	Rv0311	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0313	Rv0313	Rv0313	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0314c	Rv0314c	Rv0314c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0315	Rv0315	Rv0315	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0316	Rv0316	Rv0316	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0318c	Rv0318c	Rv0318c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0320	Rv0320	Rv0320	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0323c	Rv0323c	Rv0323c	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
Rv0324	Rv0324	Rv0324	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0325	Rv0325	Rv0325	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0326	Rv0326	Rv0326	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0328	Rv0328	Rv0328	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0329c	Rv0329c	Rv0329c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0330c	Rv0330c	Rv0330c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0336	Rv0336	Rv0336	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0338c	Rv0338c	Rv0338c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0339c	Rv0339c	Rv0339c	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
Rv0340	Rv0340	Rv0340	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0345	Rv0345	Rv0345	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0347	Rv0347	Rv0347	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0348	Rv0348	Rv0348	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0349	Rv0349	Rv0349	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0356c	Rv0356c	Rv0356c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0358	Rv0358	Rv0358	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0359	Rv0359	Rv0359	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0360c	Rv0360c	Rv0360c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0361	Rv0361	Rv0361	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0364	Rv0364	Rv0364	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0365c	Rv0365c	Rv0365c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0366c	Rv0366c	Rv0366c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0367c	Rv0367c	Rv0367c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0377	Rv0377	Rv0377	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0378	Rv0378	Rv0378	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0380c	Rv0380c	Rv0380c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0381c	Rv0381c	Rv0381c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0383c	Rv0383c	Rv0383c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0385	Rv0385	Rv0385	protein_coding	0	0	0	12	0	0	0	11	0	0	0	0	0	0	1
Rv0386	Rv0386	Rv0386	protein_coding	0	0	0	12	0	0	0	11	0	0	0	0	0	0	1
Rv0387c	Rv0387c	Rv0387c	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11
Rv0390	Rv0390	Rv0390	protein_coding	0	0	0	12	0	0	0	1	0	0	0	0	0	0	11
Rv0393	Rv0393	Rv0393	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0394c	Rv0394c	Rv0394c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0395	Rv0395	Rv0395	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0396	Rv0396	Rv0396	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0397	Rv0397	Rv0397	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0397A	Rv0397A	Rv0397A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0398c	Rv0398c	Rv0398c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0406c	Rv0406c	Rv0406c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0412c	Rv0412c	Rv0412c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0420c	Rv0420c	Rv0420c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0421c	Rv0421c	Rv0421c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0424c	Rv0424c	Rv0424c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0426c	Rv0426c	Rv0426c	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0428c	Rv0428c	Rv0428c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0430	Rv0430	Rv0430	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0431	Rv0431	Rv0431	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
