name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_S1.txt_num	CD_7_long.bracken_S1.txt_frac	CD_7_short.bracken_S1.txt_num	CD_7_short.bracken_S1.txt_frac	TD_31_long.bracken_S1.txt_num	TD_31_long.bracken_S1.txt_frac	TD_31_short.bracken_S1.txt_num	TD_31_short.bracken_S1.txt_frac	TD_92_long.bracken_S1.txt_num	TD_92_long.bracken_S1.txt_frac	TD_92_short.bracken_S1.txt_num	TD_92_short.bracken_S1.txt_frac
Mycobacterium intracellulare subsp. chimaera	222805	S1	0	0.00000	1163	0.00141	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium longum subsp. longum	1679	S1	0	0.00000	8911	0.01081	0	0.00000	4875	0.00394	0	0.00000	11356	0.00847
Streptomyces rimosus subsp. rimosus	132474	S1	0	0.00000	719	0.00087	0	0.00000	601	0.00049	0	0.00000	11951	0.00892
Thermus thermophilus SG0.5JP17-16	762633	S1	0	0.00000	33	0.00004	0	0.00000	26	0.00002	0	0.00000	0	0.00000
Meiothermus taiwanensis WR-220	1339250	S1	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Leptolyngbya boryana IU 594	462680	S1	0	0.00000	1245	0.00151	0	0.00000	420	0.00034	0	0.00000	1585	0.00118
Allocoleopsis franciscana PCC 7113	1173027	S1	0	0.00000	140	0.00017	0	0.00000	94	0.00008	0	0.00000	155	0.00012
Nostoc cf. commune SO-36	449208	S1	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acaryochloris marina S15	2762553	S1	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	11	0.00001
Thermomicrobium roseum DSM 5159	309801	S1	0	0.00000	131397	0.15942	0	0.00000	24083	0.01945	0	0.00000	6434	0.00480
Escherichia coli O157:H7	83334	S1	0	0.00000	15110	0.01833	0	0.00000	0	0.00000	0	0.00000	419008	0.31261
Escherichia coli O145	1055538	S1	0	0.00000	516	0.00063	0	0.00000	0	0.00000	0	0.00000	21108	0.01575
Escherichia coli O78:H51	3050630	S1	0	0.00000	89	0.00011	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Escherichia coli XH001	1069495	S1	0	0.00000	34	0.00004	0	0.00000	0	0.00000	0	0.00000	506	0.00038
Escherichia coli UM146	869729	S1	0	0.00000	78	0.00009	0	0.00000	0	0.00000	0	0.00000	1998	0.00149
Klebsiella pneumoniae subsp. pneumoniae	72407	S1	0	0.00000	45279	0.05494	0	0.00000	1140	0.00092	0	0.00000	26039	0.01943
Klebsiella quasipneumoniae subsp. similipneumoniae	1463164	S1	0	0.00000	73	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Salmonella enterica subsp. enterica	59201	S1	0	0.00000	677	0.00082	0	0.00000	2493	0.00201	0	0.00000	7238	0.00540
Shigella flexneri 2a	42897	S1	0	0.00000	74	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Shigella flexneri 1a	374923	S1	0	0.00000	34	0.00004	0	0.00000	0	0.00000	0	0.00000	9010	0.00672
Rahnella aquatilis CIP 78.65 = ATCC 33071	745277	S1	0	0.00000	482	0.00058	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonas syringae pv. syringae	321	S1	0	0.00000	66	0.00008	0	0.00000	56	0.00005	0	0.00000	21	0.00002
Pseudomonas amygdali pv. lachrymans	53707	S1	0	0.00000	202	0.00025	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aeromonas salmonicida subsp. salmonicida	29491	S1	0	0.00000	270	0.00033	0	0.00000	2362	0.00191	0	0.00000	3785	0.00282
Xanthomonas citri pv. mangiferaeindicae	454594	S1	0	0.00000	568	0.00069	0	0.00000	349	0.00028	0	0.00000	236	0.00018
Xanthomonas translucens pv. cerealis	152263	S1	0	0.00000	1310	0.00159	0	0.00000	69	0.00006	0	0.00000	23	0.00002
Photobacterium damselae subsp. damselae	85581	S1	0	0.00000	14	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pasteurella multocida subsp. multocida	44283	S1	0	0.00000	93	0.00011	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium leguminosarum bv. viciae	387	S1	0	0.00000	1425	0.00173	0	0.00000	2966	0.00240	0	0.00000	0	0.00000
Rhizobium tropici CIAT 899	698761	S1	0	0.00000	1536	0.00186	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium anhuiense bv. trifolii	2018689	S1	0	0.00000	475	0.00058	0	0.00000	0	0.00000	0	0.00000	1491	0.00111
Sinorhizobium fredii NGR234	394	S1	0	0.00000	306	0.00037	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sinorhizobium americanum CCGM7	1408224	S1	0	0.00000	731	0.00089	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylorubrum extorquens AM1	272630	S1	0	0.00000	1953	0.00237	0	0.00000	0	0.00000	0	0.00000	11013	0.00822
Tritonibacter mobilis F1926	1265309	S1	0	0.00000	4890	0.00593	0	0.00000	4376	0.00353	0	0.00000	0	0.00000
Ruegeria pomeroyi DSS-3	246200	S1	0	0.00000	4672	0.00567	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Azospirillum lipoferum 4B	862719	S1	0	0.00000	1001	0.00121	0	0.00000	2820	0.00228	0	0.00000	0	0.00000
Komagataeibacter intermedius AF2	1458464	S1	0	0.00000	942	0.00114	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Roseomonas gilardii subsp. gilardii	204527	S1	0	0.00000	531	0.00064	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Novosphingobium pentaromativorans US6-1	1088721	S1	0	0.00000	344	0.00042	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sphingobium chlorophenolicum L-1	690566	S1	0	0.00000	779	0.00095	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phenylobacterium zucineum HLK1	450851	S1	0	0.00000	1646	0.00200	0	0.00000	2004	0.00162	0	0.00000	678	0.00051
Tistrella mobilis KA081020-065	1110502	S1	0	0.00000	3017	0.00366	0	0.00000	106	0.00009	0	0.00000	1453	0.00108
Ralstonia solanacearum MolK2	564065	S1	0	0.00000	652	0.00079	0	0.00000	1851	0.00150	0	0.00000	2314	0.00173
Paraburkholderia phymatum STM815	391038	S1	0	0.00000	90	0.00011	0	0.00000	31	0.00003	0	0.00000	18	0.00001
Bacteroides fragilis 3_1_12	457424	S1	0	0.00000	63751	0.07735	0	0.00000	56071	0.04529	0	0.00000	0	0.00000
Bacteroides fragilis YCH46	295405	S1	0	0.00000	40905	0.04963	0	0.00000	424167	0.34262	0	0.00000	0	0.00000
Segatella copri DSM 18205	537011	S1	0	0.00000	11693	0.01419	0	0.00000	2708	0.00219	209	0.92478	8009	0.00598
Prevotella sp. oral taxon 299 str. F0039	575614	S1	0	0.00000	1228	0.00149	0	0.00000	5920	0.00478	0	0.00000	2474	0.00185
Campylobacter jejuni subsp. jejuni	32022	S1	0	0.00000	31611	0.03835	0	0.00000	14758	0.01192	0	0.00000	824	0.00061
Ilyobacter polytropus DSM 2926	572544	S1	0	0.00000	2009	0.00244	0	0.00000	605	0.00049	0	0.00000	919	0.00069
Solidesulfovibrio carbinoliphilus subsp. oakridgensis	694327	S1	0	0.00000	36	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Halorhabdus utahensis DSM 12940	519442	S1	0	0.00000	91	0.00011	0	0.00000	0	0.00000	0	0.00000	484	0.00036
Natronomonas pharaonis DSM 2160	348780	S1	0	0.00000	886	0.00107	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Haloferax mediterranei ATCC 33500	523841	S1	0	0.00000	193	0.00023	0	0.00000	875	0.00071	0	0.00000	3023	0.00226
Haloferax volcanii DS2	309800	S1	0	0.00000	307	0.00037	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Halorubrum lacusprofundi ATCC 49239	416348	S1	0	0.00000	1713	0.00208	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Natronococcus occultus SP4	694430	S1	0	0.00000	108	0.00013	0	0.00000	0	0.00000	0	0.00000	215	0.00016
Haloterrigena turkmenica DSM 5511	543526	S1	0	0.00000	435	0.00053	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Halobiforma lacisalsi AJ5	358396	S1	0	0.00000	84	0.00010	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Natrialba magadii ATCC 43099	547559	S1	0	0.00000	23	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Halalkalicoccus jeotgali B3	795797	S1	0	0.00000	4297	0.00521	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methanosarcina barkeri 3	1434107	S1	0	0.00000	41	0.00005	0	0.00000	80	0.00006	0	0.00000	35	0.00003
Methanosarcina lacustris Z-7289	1434111	S1	0	0.00000	34	0.00004	0	0.00000	0	0.00000	0	0.00000	186	0.00014
Methanosarcina horonobensis HB-1 = JCM 15518	1434110	S1	0	0.00000	15	0.00002	0	0.00000	0	0.00000	0	0.00000	81	0.00006
Methanohalophilus mahii DSM 5219	547558	S1	0	0.00000	893	0.00108	0	0.00000	0	0.00000	0	0.00000	635	0.00047
Methanohalobium evestigatum Z-7303	644295	S1	0	0.00000	223	0.00027	0	0.00000	91	0.00007	0	0.00000	143	0.00011
Methanococcoides methylutens MM1	1434104	S1	0	0.00000	244	0.00030	0	0.00000	296	0.00024	0	0.00000	151	0.00011
Methanococcoides burtonii DSM 6242	259564	S1	0	0.00000	455	0.00055	0	0.00000	56	0.00005	0	0.00000	33	0.00002
Methanosalsum zhilinae DSM 4017	679901	S1	0	0.00000	139	0.00017	0	0.00000	0	0.00000	0	0.00000	326	0.00024
Methanomethylovorans hollandica DSM 15978	867904	S1	0	0.00000	660	0.00080	0	0.00000	225	0.00018	0	0.00000	0	0.00000
Methanoplanus limicola DSM 2279	937775	S1	0	0.00000	283	0.00034	0	0.00000	795	0.00064	0	0.00000	52	0.00004
Methanofollis liminatans DSM 4140	28892	S1	0	0.00000	43	0.00005	0	0.00000	69	0.00006	0	0.00000	145	0.00011
Methanolacinia petrolearia DSM 11571	679926	S1	0	0.00000	197	0.00024	0	0.00000	95	0.00008	0	0.00000	23	0.00002
Methanoculleus bourgensis MS2	1201294	S1	0	0.00000	349	0.00042	0	0.00000	0	0.00000	0	0.00000	248	0.00019
Methanocorpusculum labreanum Z	410358	S1	0	0.00000	519	0.00063	0	0.00000	267	0.00022	0	0.00000	103	0.00008
Methanoregula formicica SMSP	593750	S1	0	0.00000	58	0.00007	0	0.00000	394	0.00032	0	0.00000	254	0.00019
Methanoregula boonei 6A8	456442	S1	0	0.00000	19	0.00002	0	0.00000	22	0.00002	0	0.00000	0	0.00000
Methanospirillum hungatei JF-1	323259	S1	0	0.00000	136	0.00017	0	0.00000	39	0.00003	0	0.00000	256	0.00019
Methanocella paludicola SANAE	304371	S1	0	0.00000	97	0.00012	0	0.00000	79	0.00006	0	0.00000	27	0.00002
Methanocella arvoryzae MRE50	351160	S1	0	0.00000	23	0.00003	0	0.00000	15	0.00001	0	0.00000	381	0.00028
Methanothrix harundinacea 6Ac	1110509	S1	0	0.00000	50	0.00006	0	0.00000	106	0.00009	0	0.00000	18	0.00001
Methanobrevibacter smithii ATCC 35061	420247	S1	0	0.00000	2132	0.00259	0	0.00000	0	0.00000	0	0.00000	704	0.00053
Methanobrevibacter ruminantium M1	634498	S1	0	0.00000	3432	0.00416	0	0.00000	2200	0.00178	0	0.00000	1658	0.00124
Methanococcus maripaludis S2	267377	S1	0	0.00000	113	0.00014	0	0.00000	323	0.00026	0	0.00000	0	0.00000
Methanococcus vannielii SB	406327	S1	0	0.00000	238	0.00029	0	0.00000	45	0.00004	0	0.00000	88	0.00007
Methanothermococcus okinawensis IH1	647113	S1	0	0.00000	528	0.00064	0	0.00000	84	0.00007	0	0.00000	113	0.00008
Methanothermococcus thermolithotrophicus DSM 2095	523845	S1	0	0.00000	140	0.00017	0	0.00000	37	0.00003	0	0.00000	107	0.00008
Methanopyrus kandleri AV19	190192	S1	0	0.00000	361	0.00044	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermococcus gammatolerans EJ3	593117	S1	0	0.00000	179	0.00022	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Archaeoglobus sulfaticallidus PM70-1	387631	S1	0	0.00000	14	0.00002	0	0.00000	0	0.00000	0	0.00000	14	0.00001
Hyperthermus butylicus DSM 5456	415426	S1	0	0.00000	103	0.00012	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pyrobaculum calidifontis JCM 11548	410359	S1	0	0.00000	12	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pyrobaculum neutrophilum V24Sta	444157	S1	0	0.00000	12	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Picrophilus oshimae DSM 9789	1122961	S1	0	0.00000	91	0.00011	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr50_1	2772059	S1	0	0.00000	662	0.00080	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr30_1	2986411	S1	0	0.00000	112	0.00014	0	0.00000	75	0.00006	0	0.00000	0	0.00000
uncultured phage cr56_1	2772081	S1	0	0.00000	24	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr16_1	2986414	S1	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	257	0.00019
uncultured phage cr35_1	2986408	S1	0	0.00000	32	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr118_1	2772063	S1	0	0.00000	12	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr99_1	2986399	S1	0	0.00000	116	0.00014	0	0.00000	62	0.00005	0	0.00000	0	0.00000
uncultured phage cr17_1	2986404	S1	0	0.00000	30	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Faecalibacterium phage FP_Lagaffe	2070183	S1	0	0.00000	1148	0.00139	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Faecalibacterium phage FP_Lugh	2070184	S1	0	0.00000	345	0.00042	0	0.00000	239	0.00019	0	0.00000	0	0.00000
Cyanophage S-TIM5	1137745	S1	0	0.00000	71	0.00009	0	0.00000	35	0.00003	0	0.00000	0	0.00000
Escherichia phage 2G7b	2847057	S1	0	0.00000	318	0.00039	0	0.00000	0	0.00000	0	0.00000	351	0.00026
Bacillus phage Mater	1540090	S1	0	0.00000	33	0.00004	0	0.00000	16	0.00001	0	0.00000	27	0.00002
Faecalibacterium phage FP_Epona	2070182	S1	0	0.00000	52	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Gordonia phage SteveFrench	2079281	S1	0	0.00000	39	0.00005	0	0.00000	0	0.00000	0	0.00000	12	0.00001
Mycobacterium phage MA5	2725640	S1	0	0.00000	25	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Escherichia phage ev099	2847061	S1	0	0.00000	98	0.00012	0	0.00000	0	0.00000	0	0.00000	120	0.00009
Faecalibacterium phage FP_Mushu	2070185	S1	0	0.00000	19	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Escherichia phage 2H10	2847058	S1	0	0.00000	20	0.00002	0	0.00000	0	0.00000	0	0.00000	77	0.00006
Vibrio phage vB_VchM_Kuja	2686437	S1	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacillus phage G	2884420	S1	0	0.00000	10	0.00001	0	0.00000	25	0.00002	0	0.00000	11	0.00001
Megavirus chiliensis	1094892	S1	0	0.00000	15	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phocaeicola salanitronis DSM 18170	667015	S1	0	0.00000	0	0.00000	0	0.00000	540959	0.43696	0	0.00000	355700	0.26538
Prevotella nigrescens F0103	702439	S1	0	0.00000	0	0.00000	0	0.00000	10930	0.00883	0	0.00000	1992	0.00149
Emticicia oligotrophica DSM 17448	929562	S1	0	0.00000	0	0.00000	0	0.00000	44986	0.03634	0	0.00000	901	0.00067
Clostridium botulinum V891	929508	S1	0	0.00000	0	0.00000	0	0.00000	92	0.00007	0	0.00000	0	0.00000
Streptococcus salivarius K12	1200793	S1	0	0.00000	0	0.00000	0	0.00000	6082	0.00491	0	0.00000	3291	0.00246
Lactococcus cremoris subsp. cremoris	2816960	S1	0	0.00000	0	0.00000	0	0.00000	2052	0.00166	0	0.00000	202	0.00015
Fructilactobacillus sanfranciscensis TMW 1.1304	714313	S1	0	0.00000	0	0.00000	0	0.00000	25	0.00002	0	0.00000	0	0.00000
Paucilactobacillus hokkaidonensis JCM 18461	1291742	S1	0	0.00000	0	0.00000	0	0.00000	146	0.00012	0	0.00000	0	0.00000
Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488	1003195	S1	0	0.00000	0	0.00000	0	0.00000	7556	0.00610	0	0.00000	2402	0.00179
Deinococcus gobiensis I-0	745776	S1	0	0.00000	0	0.00000	0	0.00000	150	0.00012	0	0.00000	65	0.00005
Deinococcus deserti VCD115	546414	S1	0	0.00000	0	0.00000	0	0.00000	143	0.00012	0	0.00000	99	0.00007
Deinococcus proteolyticus MRP	693977	S1	0	0.00000	0	0.00000	0	0.00000	249	0.00020	0	0.00000	0	0.00000
Escherichia coli O145:H28	1078034	S1	0	0.00000	0	0.00000	0	0.00000	1162	0.00094	0	0.00000	0	0.00000
Serratia liquefaciens ATCC 27592	1346614	S1	0	0.00000	0	0.00000	0	0.00000	327	0.00026	0	0.00000	0	0.00000
Shewanella baltica OS155	325240	S1	0	0.00000	0	0.00000	0	0.00000	204	0.00016	0	0.00000	391	0.00029
Methylotuvimicrobium alcaliphilum 20Z	1091494	S1	0	0.00000	0	0.00000	0	0.00000	59	0.00005	0	0.00000	0	0.00000
Rhizobium grahamii CCGE 502	990285	S1	0	0.00000	0	0.00000	0	0.00000	309	0.00025	0	0.00000	0	0.00000
Zymomonas mobilis subsp. mobilis	120045	S1	0	0.00000	0	0.00000	0	0.00000	84	0.00007	0	0.00000	0	0.00000
Paraburkholderia phytofirmans OLGA172	1417228	S1	0	0.00000	0	0.00000	0	0.00000	79	0.00006	0	0.00000	25	0.00002
Polaromonas naphthalenivorans CJ2	365044	S1	0	0.00000	0	0.00000	0	0.00000	253	0.00020	0	0.00000	2063	0.00154
Methylibium petroleiphilum PM1	420662	S1	0	0.00000	0	0.00000	0	0.00000	201	0.00016	0	0.00000	33311	0.02485
Desulforapulum autotrophicum HRM2	177437	S1	0	0.00000	0	0.00000	0	0.00000	80	0.00006	0	0.00000	0	0.00000
Halopiger xanaduensis SH-6	797210	S1	0	0.00000	0	0.00000	0	0.00000	1970	0.00159	0	0.00000	418	0.00031
Methanosarcina acetivorans C2A	188937	S1	0	0.00000	0	0.00000	0	0.00000	272	0.00022	0	0.00000	73	0.00005
Methanococcus maripaludis X1	1053692	S1	0	0.00000	0	0.00000	0	0.00000	53	0.00004	0	0.00000	0	0.00000
Methanocaldococcus jannaschii DSM 2661	243232	S1	0	0.00000	0	0.00000	0	0.00000	81	0.00007	0	0.00000	0	0.00000
Methanocaldococcus vulcanius M7	579137	S1	0	0.00000	0	0.00000	0	0.00000	338	0.00027	0	0.00000	617	0.00046
Thermococcus guaymasensis DSM 11113	1432656	S1	0	0.00000	0	0.00000	0	0.00000	176	0.00014	0	0.00000	65	0.00005
Thermococcus sibiricus MM 739	604354	S1	0	0.00000	0	0.00000	0	0.00000	61	0.00005	0	0.00000	0	0.00000
Pyrococcus abyssi GE5	272844	S1	0	0.00000	0	0.00000	0	0.00000	34	0.00003	0	0.00000	37	0.00003
Archaeoglobus veneficus SNP6	693661	S1	0	0.00000	0	0.00000	0	0.00000	24	0.00002	0	0.00000	0	0.00000
Acidianus sulfidivorans JP7	619593	S1	0	0.00000	0	0.00000	0	0.00000	48	0.00004	0	0.00000	130	0.00010
Candidatus Nitrosopumilus koreensis AR1	1229908	S1	0	0.00000	0	0.00000	0	0.00000	135	0.00011	0	0.00000	0	0.00000
Streptococcus phage 20617	1392231	S1	0	0.00000	0	0.00000	0	0.00000	294	0.00024	0	0.00000	135	0.00010
Streptococcus phage VS-2018a	2184051	S1	0	0.00000	0	0.00000	0	0.00000	15	0.00001	0	0.00000	0	0.00000
Cellulophaga phage phi14:2	1327990	S1	0	0.00000	0	0.00000	0	0.00000	19	0.00002	0	0.00000	0	0.00000
Staphylococcus phage MCE-2014	1524910	S1	0	0.00000	0	0.00000	0	0.00000	198	0.00016	0	0.00000	0	0.00000
Faecalibacterium phage FP_Brigit	2070181	S1	0	0.00000	0	0.00000	0	0.00000	320	0.00026	0	0.00000	0	0.00000
Synechococcus phage Syn30	536474	S1	0	0.00000	0	0.00000	0	0.00000	20	0.00002	0	0.00000	0	0.00000
Staphylococcus phage vB_SpsS_QT1	2510452	S1	0	0.00000	0	0.00000	0	0.00000	32	0.00003	0	0.00000	0	0.00000
Vibrio phage Ceto	2570300	S1	0	0.00000	0	0.00000	0	0.00000	15	0.00001	0	0.00000	0	0.00000
Cotonvirus japonicus	2811091	S1	0	0.00000	0	0.00000	0	0.00000	17	0.00001	0	0.00000	31	0.00002
Bodo saltans virus	2024608	S1	0	0.00000	0	0.00000	0	0.00000	10	0.00001	0	0.00000	0	0.00000
uncultured phage cr19_1	2986420	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.07522	0	0.00000
Escherichia coli O170:H18	2848145	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	367	0.00027
Escherichia coli O8:H8	2027293	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	85	0.00006
Escherichia coli O78:H4	2854732	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1102	0.00082
Escherichia coli O2:K1:H4	3050626	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	786	0.00059
Escherichia coli O25b:H4-ST131	941322	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1426	0.00106
Enterobacter hormaechei subsp. xiangfangensis	1296536	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42742	0.03189
Photobacterium damselae subsp. piscicida	38294	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00003
Legionella fallonii LLAP-10	1212491	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00001
Rhizobium leguminosarum bv. trifolii	386	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	832	0.00062
Rhizobium gallicum bv. gallicum	142627	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1411	0.00105
Neorhizobium galegae bv. officinalis	323656	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	68	0.00005
Wenxinia marina DSM 24838	1123501	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	4254	0.00317
Acidiphilium multivorum AIU301	926570	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	582	0.00043
Clostridium perfringens F262	883064	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	7933	0.00592
Limosilactobacillus reuteri I5007	1340495	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11345	0.00846
Bacillus thuringiensis LM1212	1417985	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11809	0.00881
Rhodococcus opacus PD630	543736	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	4749	0.00354
Rhodococcus erythropolis R138	1289591	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1412	0.00105
Synechococcus elongatus UTEX 3055	2479200	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00001
Granulicella tundricola MP5ACTX9	1198114	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	43992	0.03282
Methanocaldococcus fervens AG86	573064	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	177	0.00013
