name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_G.txt_num	CD_7_long.bracken_G.txt_frac	CD_7_short.bracken_G.txt_num	CD_7_short.bracken_G.txt_frac	TD_31_long.bracken_G.txt_num	TD_31_long.bracken_G.txt_frac	TD_31_short.bracken_G.txt_num	TD_31_short.bracken_G.txt_frac	TD_92_long.bracken_G.txt_num	TD_92_long.bracken_G.txt_frac	TD_92_short.bracken_G.txt_num	TD_92_short.bracken_G.txt_frac
Ligilactobacillus	2767887	G	0	0.00000	589	0.00053	0	0.00000	410	0.00020	19	0.00025	230	0.00010
Lactiplantibacillus	2767842	G	0	0.00000	357	0.00032	0	0.00000	518	0.00026	0	0.00000	1181	0.00054
Limosilactobacillus	2742598	G	0	0.00000	781	0.00071	0	0.00000	1687	0.00084	195	0.00257	4675	0.00213
Weissella	46255	G	0	0.00000	23	0.00002	0	0.00000	0	0.00000	0	0.00000	76	0.00003
Leuconostoc	1243	G	0	0.00000	25	0.00002	0	0.00000	39	0.00002	0	0.00000	46	0.00002
Lactococcus	1357	G	0	0.00000	1146	0.00104	20	0.00067	1879	0.00094	0	0.00000	628	0.00029
Finegoldia	150022	G	0	0.00000	354	0.00032	0	0.00000	335	0.00017	0	0.00000	506	0.00023
Anaerococcus	165779	G	0	0.00000	324	0.00029	0	0.00000	112	0.00006	0	0.00000	261	0.00012
Peptoniphilus	162289	G	0	0.00000	20	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Selenomonas	970	G	0	0.00000	243	0.00022	0	0.00000	94	0.00005	0	0.00000	281	0.00013
Eggerthella	84111	G	0	0.00000	174	0.00016	0	0.00000	474	0.00024	0	0.00000	0	0.00000
Arthrobacter	1663	G	0	0.00000	2237	0.00202	0	0.00000	530	0.00026	0	0.00000	7762	0.00353
Paenarthrobacter	1742992	G	0	0.00000	261	0.00024	0	0.00000	145	0.00007	0	0.00000	0	0.00000
Micrococcus	1269	G	0	0.00000	97	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kocuria	57493	G	0	0.00000	21	0.00002	0	0.00000	432	0.00022	0	0.00000	256	0.00012
Pseudarthrobacter	1742993	G	0	0.00000	102	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Curtobacterium	2034	G	0	0.00000	651	0.00059	0	0.00000	214	0.00011	0	0.00000	916	0.00042
Microbacterium	33882	G	0	0.00000	789	0.00071	0	0.00000	2043	0.00102	0	0.00000	2185	0.00099
Rathayibacter	33886	G	0	0.00000	224	0.00020	0	0.00000	70	0.00003	0	0.00000	0	0.00000
Cellulomonas	1707	G	0	0.00000	335	0.00030	0	0.00000	122	0.00006	0	0.00000	650	0.00030
Brachybacterium	43668	G	0	0.00000	40	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Tsukamurella	2060	G	0	0.00000	2610	0.00236	0	0.00000	1436	0.00072	0	0.00000	16071	0.00731
Corynebacterium	1716	G	0	0.00000	12060	0.01089	0	0.00000	288	0.00014	0	0.00000	0	0.00000
Nocardia	1817	G	0	0.00000	1753	0.00158	0	0.00000	673	0.00034	0	0.00000	3916	0.00178
Rhodococcus	1827	G	0	0.00000	719	0.00065	0	0.00000	512	0.00026	0	0.00000	2009	0.00091
Gordonia	2053	G	0	0.00000	259	0.00023	0	0.00000	60	0.00003	0	0.00000	32	0.00001
Mycobacterium	1763	G	0	0.00000	38	0.00003	0	0.00000	11	0.00001	0	0.00000	0	0.00000
Bifidobacterium	1678	G	0	0.00000	6340	0.00573	206	0.00688	1934	0.00096	13	0.00017	2994	0.00136
Streptomyces	1883	G	0	0.00000	3096	0.00280	0	0.00000	1434	0.00071	0	0.00000	5558	0.00253
Kitasatospora	2063	G	0	0.00000	400	0.00036	0	0.00000	20	0.00001	0	0.00000	4261	0.00194
Embleya	2699295	G	0	0.00000	209	0.00019	0	0.00000	92	0.00005	0	0.00000	165	0.00008
Nonomuraea	83681	G	0	0.00000	2150	0.00194	0	0.00000	1021	0.00051	0	0.00000	7144	0.00325
Spongiactinospora	2871671	G	0	0.00000	746	0.00067	0	0.00000	238	0.00012	0	0.00000	1289	0.00059
Actinomadura	1988	G	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Actinomyces	1654	G	0	0.00000	1900	0.00172	0	0.00000	497	0.00025	0	0.00000	2781	0.00127
Pseudonocardia	1847	G	0	0.00000	52	0.00005	0	0.00000	16	0.00001	0	0.00000	1807	0.00082
Miltoncostaea	2843200	G	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Deinococcus	1298	G	0	0.00000	1580	0.00143	0	0.00000	663	0.00033	0	0.00000	175	0.00008
Thermus	270	G	0	0.00000	40	0.00004	0	0.00000	27	0.00001	0	0.00000	0	0.00000
Meiothermus	65551	G	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Leptolyngbya	47251	G	0	0.00000	1245	0.00112	0	0.00000	420	0.00021	0	0.00000	1585	0.00072
Allocoleopsis	2886347	G	0	0.00000	114	0.00010	0	0.00000	77	0.00004	0	0.00000	107	0.00005
Nostoc	1177	G	0	0.00000	36	0.00003	0	0.00000	25	0.00001	0	0.00000	30	0.00001
Anabaena	1163	G	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	40	0.00002
Acaryochloris	155977	G	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	24	0.00001
Mycoplasmopsis	2767358	G	0	0.00000	665	0.00060	0	0.00000	240	0.00012	0	0.00000	49	0.00002
Metamycoplasma	2895509	G	0	0.00000	288	0.00026	0	0.00000	73	0.00004	0	0.00000	77	0.00004
Mesomycoplasma	2923352	G	0	0.00000	446	0.00040	0	0.00000	303	0.00015	0	0.00000	356	0.00016
Thermomicrobium	499	G	0	0.00000	62	0.00006	0	0.00000	18	0.00001	0	0.00000	14	0.00001
Raoultella	160674	G	0	0.00000	68	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter	547	G	0	0.00000	1164	0.00105	771	0.02575	3584	0.00179	98	0.00129	8951	0.00407
Salmonella	590	G	0	0.00000	498	0.00045	0	0.00000	1827	0.00091	0	0.00000	1174	0.00053
Leclercia	83654	G	0	0.00000	74	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Citrobacter	544	G	0	0.00000	74	0.00007	0	0.00000	485	0.00024	0	0.00000	325	0.00015
Shigella	620	G	0	0.00000	84	0.00008	0	0.00000	0	0.00000	0	0.00000	408	0.00019
Phytobacter	447792	G	0	0.00000	16	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Serratia	613	G	0	0.00000	755	0.00068	0	0.00000	424	0.00021	0	0.00000	244	0.00011
Rahnella	34037	G	0	0.00000	99	0.00009	0	0.00000	52	0.00003	0	0.00000	76	0.00003
Yersinia	629	G	0	0.00000	32	0.00003	0	0.00000	32	0.00002	0	0.00000	87	0.00004
Proteus	583	G	0	0.00000	310	0.00028	0	0.00000	230	0.00011	0	0.00000	288	0.00013
Providencia	586	G	0	0.00000	60	0.00005	0	0.00000	22	0.00001	0	0.00000	61	0.00003
Pantoea	53335	G	0	0.00000	168	0.00015	0	0.00000	400	0.00020	0	0.00000	296	0.00013
Amphritea	515417	G	0	0.00000	1587	0.00143	0	0.00000	488	0.00024	0	0.00000	879	0.00040
Halomonas	2745	G	0	0.00000	138	0.00012	0	0.00000	55	0.00003	0	0.00000	35	0.00002
Pseudomonas	286	G	0	0.00000	1327	0.00120	0	0.00000	674	0.00034	0	0.00000	932	0.00042
Stutzerimonas	2901164	G	0	0.00000	67	0.00006	0	0.00000	26	0.00001	0	0.00000	404	0.00018
Aeromonas	642	G	0	0.00000	891	0.00080	0	0.00000	1092	0.00054	0	0.00000	1913	0.00087
Xanthomonas	338	G	0	0.00000	731	0.00066	0	0.00000	423	0.00021	0	0.00000	299	0.00014
Stenotrophomonas	40323	G	0	0.00000	51	0.00005	0	0.00000	19	0.00001	0	0.00000	289	0.00013
Acinetobacter	469	G	0	0.00000	636	0.00057	0	0.00000	347	0.00017	0	0.00000	368	0.00017
Enterovibrio	188143	G	0	0.00000	157	0.00014	0	0.00000	10	0.00000	0	0.00000	0	0.00000
Vibrio	662	G	0	0.00000	137	0.00012	0	0.00000	525	0.00026	0	0.00000	143	0.00007
Photobacterium	657	G	0	0.00000	55	0.00005	0	0.00000	38	0.00002	0	0.00000	52	0.00002
Salinivibrio	51366	G	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Legionella	445	G	0	0.00000	257	0.00023	0	0.00000	100	0.00005	0	0.00000	173	0.00008
Shewanella	22	G	0	0.00000	64	0.00006	0	0.00000	68	0.00003	0	0.00000	177	0.00008
Pseudoalteromonas	53246	G	0	0.00000	40	0.00004	0	0.00000	54	0.00003	0	0.00000	82	0.00004
Alteromonas	226	G	0	0.00000	12	0.00001	0	0.00000	73	0.00004	0	0.00000	185	0.00008
Pasteurella	745	G	0	0.00000	55	0.00005	0	0.00000	35	0.00002	0	0.00000	326	0.00015
Piscirickettsia	1237	G	0	0.00000	29	0.00003	0	0.00000	17	0.00001	0	0.00000	46	0.00002
Thiothrix	1030	G	0	0.00000	10	0.00001	0	0.00000	59	0.00003	0	0.00000	27	0.00001
Methylomagnum	1760987	G	0	0.00000	10	0.00001	0	0.00000	41	0.00002	0	0.00000	64	0.00003
Rhizobium	379	G	0	0.00000	2712	0.00245	0	0.00000	1424	0.00071	0	0.00000	3368	0.00153
Neorhizobium	1525371	G	0	0.00000	348	0.00031	0	0.00000	213	0.00011	0	0.00000	502	0.00023
Agrobacterium	357	G	0	0.00000	1168	0.00106	0	0.00000	671	0.00033	0	0.00000	2094	0.00095
Pararhizobium	1612611	G	0	0.00000	66	0.00006	0	0.00000	22	0.00001	0	0.00000	18	0.00001
Allorhizobium	78526	G	0	0.00000	82	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudorhizobium	1903858	G	0	0.00000	70	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Shinella	323620	G	0	0.00000	2883	0.00260	0	0.00000	1294	0.00064	0	0.00000	798	0.00036
Sinorhizobium	28105	G	0	0.00000	1142	0.00103	0	0.00000	752	0.00037	0	0.00000	496	0.00023
Ensifer	106591	G	0	0.00000	200	0.00018	0	0.00000	163	0.00008	0	0.00000	213	0.00010
Ciceribacter	1648508	G	0	0.00000	21	0.00002	0	0.00000	204	0.00010	0	0.00000	29	0.00001
Peteryoungia	2853332	G	0	0.00000	20	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylobacterium	407	G	0	0.00000	470	0.00042	0	0.00000	376	0.00019	0	0.00000	127	0.00006
Microvirga	186650	G	0	0.00000	161	0.00015	0	0.00000	94	0.00005	0	0.00000	68	0.00003
Methylorubrum	2282523	G	0	0.00000	581	0.00052	0	0.00000	536	0.00027	0	0.00000	2032	0.00092
Mesorhizobium	68287	G	0	0.00000	1241	0.00112	0	0.00000	370	0.00018	0	0.00000	962	0.00044
Phyllobacterium	28100	G	0	0.00000	128	0.00012	0	0.00000	91	0.00005	0	0.00000	102	0.00005
Nitratireductor	245876	G	0	0.00000	85	0.00008	0	0.00000	366	0.00018	0	0.00000	81	0.00004
Aminobacter	31988	G	0	0.00000	551	0.00050	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bosea	85413	G	0	0.00000	144	0.00013	0	0.00000	41	0.00002	0	0.00000	0	0.00000
Methylosinus	425	G	0	0.00000	125	0.00011	0	0.00000	66	0.00003	0	0.00000	0	0.00000
Methylocystis	133	G	0	0.00000	16	0.00001	0	0.00000	17	0.00001	0	0.00000	14	0.00001
Roseibium	150830	G	0	0.00000	210	0.00019	0	0.00000	125	0.00006	0	0.00000	0	0.00000
Bradyrhizobium	374	G	0	0.00000	154	0.00014	0	0.00000	59	0.00003	0	0.00000	50	0.00002
Afipia	1033	G	0	0.00000	363	0.00033	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Chelatococcus	28209	G	0	0.00000	28	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Brucella	234	G	0	0.00000	445	0.00040	0	0.00000	0	0.00000	0	0.00000	104	0.00005
Ochrobactrum	528	G	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	11	0.00001
Lichenihabitans	2723776	G	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paracoccus	265	G	0	0.00000	1475	0.00133	0	0.00000	1064	0.00053	0	0.00000	651	0.00030
Tritonibacter	2083206	G	0	0.00000	519	0.00047	0	0.00000	252	0.00013	0	0.00000	1860	0.00085
Paroceanicella	2683599	G	0	0.00000	566	0.00051	0	0.00000	85	0.00004	0	0.00000	124	0.00006
Thioclava	285107	G	0	0.00000	56	0.00005	0	0.00000	55	0.00003	0	0.00000	127	0.00006
Pacificitalea	2846749	G	0	0.00000	665	0.00060	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cereibacter	1653176	G	0	0.00000	30	0.00003	0	0.00000	0	0.00000	0	0.00000	22	0.00001
Pseudorhodobacter	238783	G	0	0.00000	22	0.00002	0	0.00000	19	0.00001	0	0.00000	62	0.00003
Aliiroseovarius	1658781	G	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Roseicitreum	1209946	G	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Haematobacter	366614	G	0	0.00000	191	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Qingshengfaniella	2816884	G	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	17	0.00001
Pseudosulfitobacter	2854186	G	0	0.00000	1609	0.00145	0	0.00000	825	0.00041	0	0.00000	493	0.00022
Sulfitobacter	60136	G	0	0.00000	490	0.00044	0	0.00000	416	0.00021	0	0.00000	135	0.00006
Leisingera	191028	G	0	0.00000	83	0.00007	0	0.00000	27	0.00001	0	0.00000	73	0.00003
Ruegeria	97050	G	0	0.00000	60	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Salipiger	263377	G	0	0.00000	798	0.00072	0	0.00000	265	0.00013	0	0.00000	6722	0.00306
Phaeobacter	302485	G	0	0.00000	175	0.00016	0	0.00000	42	0.00002	0	0.00000	101	0.00005
Ketogulonicigenium	92944	G	0	0.00000	46	0.00004	0	0.00000	33	0.00002	0	0.00000	0	0.00000
Alloyangia	2919626	G	0	0.00000	14	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Roseovarius	74030	G	0	0.00000	342	0.00031	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Azospirillum	191	G	0	0.00000	2369	0.00214	0	0.00000	1669	0.00083	0	0.00000	1371	0.00062
Indioceanicola	2478349	G	0	0.00000	335	0.00030	0	0.00000	0	0.00000	0	0.00000	522	0.00024
Niveispirillum	1543704	G	0	0.00000	60	0.00005	0	0.00000	19	0.00001	0	0.00000	28	0.00001
Skermanella	204447	G	0	0.00000	197	0.00018	0	0.00000	691	0.00034	0	0.00000	193	0.00009
Komagataeibacter	1434011	G	0	0.00000	358	0.00032	0	0.00000	28	0.00001	0	0.00000	66	0.00003
Roseomonas	125216	G	0	0.00000	379	0.00034	0	0.00000	48	0.00002	0	0.00000	221	0.00010
Acetobacter	434	G	0	0.00000	328	0.00030	0	0.00000	1204	0.00060	0	0.00000	144	0.00007
Oecophyllibacter	2791118	G	0	0.00000	93	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thalassospira	168934	G	0	0.00000	63	0.00006	0	0.00000	43	0.00002	0	0.00000	43	0.00002
Novosphingobium	165696	G	0	0.00000	395	0.00036	0	0.00000	385	0.00019	0	0.00000	249	0.00011
Sphingomonas	13687	G	0	0.00000	140	0.00013	0	0.00000	87	0.00004	0	0.00000	288	0.00013
Sphingobium	165695	G	0	0.00000	629	0.00057	0	0.00000	258	0.00013	0	0.00000	603	0.00027
Sphingopyxis	165697	G	0	0.00000	337	0.00030	0	0.00000	0	0.00000	0	0.00000	124	0.00006
Phenylobacterium	20	G	0	0.00000	926	0.00084	0	0.00000	95	0.00005	0	0.00000	106	0.00005
Caulobacter	75	G	0	0.00000	71	0.00006	0	0.00000	13	0.00001	0	0.00000	64	0.00003
Tistrella	171436	G	0	0.00000	241	0.00022	0	0.00000	85	0.00004	0	0.00000	20	0.00001
Burkholderia	32008	G	0	0.00000	1005	0.00091	0	0.00000	656	0.00033	0	0.00000	1018	0.00046
Ralstonia	48736	G	0	0.00000	964	0.00087	0	0.00000	773	0.00039	0	0.00000	1113	0.00051
Cupriavidus	106589	G	0	0.00000	947	0.00086	0	0.00000	552	0.00027	0	0.00000	1443	0.00066
Paraburkholderia	1822464	G	0	0.00000	198	0.00018	0	0.00000	208	0.00010	0	0.00000	192	0.00009
Caballeronia	1827195	G	0	0.00000	297	0.00027	0	0.00000	92	0.00005	0	0.00000	511	0.00023
Variovorax	34072	G	0	0.00000	468	0.00042	0	0.00000	353	0.00018	0	0.00000	474	0.00022
Comamonas	283	G	0	0.00000	1158	0.00105	0	0.00000	1084	0.00054	0	0.00000	297	0.00014
Roseateles	93681	G	0	0.00000	360	0.00033	0	0.00000	276	0.00014	0	0.00000	144	0.00007
Aquincola	391952	G	0	0.00000	152	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ideonella	36862	G	0	0.00000	35	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aquabacterium	92793	G	0	0.00000	20	0.00002	0	0.00000	15	0.00001	0	0.00000	0	0.00000
Chromobacterium	535	G	0	0.00000	949	0.00086	0	0.00000	711	0.00035	0	0.00000	435	0.00020
Neisseria	482	G	0	0.00000	246	0.00022	0	0.00000	295	0.00015	0	0.00000	176	0.00008
Acidithiobacillus	119977	G	0	0.00000	58	0.00005	0	0.00000	22	0.00001	0	0.00000	25	0.00001
Prevotella	838	G	0	0.00000	1232	0.00111	0	0.00000	6359	0.00317	0	0.00000	2659	0.00121
Butyricimonas	574697	G	0	0.00000	1082	0.00098	0	0.00000	4558	0.00227	0	0.00000	1004	0.00046
Muribaculum	1918540	G	0	0.00000	174	0.00016	0	0.00000	572	0.00028	0	0.00000	151	0.00007
Duncaniella	2518495	G	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Alistipes	239759	G	0	0.00000	96	0.00009	0	0.00000	85	0.00004	0	0.00000	11	0.00001
Porphyromonas	836	G	0	0.00000	40	0.00004	0	0.00000	257	0.00013	0	0.00000	33	0.00002
Chryseobacterium	59732	G	0	0.00000	552	0.00050	0	0.00000	198	0.00010	0	0.00000	199	0.00009
Riemerella	34084	G	0	0.00000	5557	0.00502	0	0.00000	142	0.00007	0	0.00000	4010	0.00183
Elizabethkingia	308865	G	0	0.00000	10	0.00001	0	0.00000	33	0.00002	0	0.00000	24	0.00001
Christiangramia	292691	G	0	0.00000	180	0.00016	0	0.00000	393	0.00020	0	0.00000	236	0.00011
