name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_S.txt_num	CD_7_long.bracken_S.txt_frac	CD_7_short.bracken_S.txt_num	CD_7_short.bracken_S.txt_frac	TD_31_long.bracken_S.txt_num	TD_31_long.bracken_S.txt_frac	TD_31_short.bracken_S.txt_num	TD_31_short.bracken_S.txt_frac	TD_92_long.bracken_S.txt_num	TD_92_long.bracken_S.txt_frac	TD_92_short.bracken_S.txt_num	TD_92_short.bracken_S.txt_frac
Enterococcus sp. FDAARGOS_553	2420313	S	41	0.00189	5354	0.00486	67	0.00226	1302	0.00065	21	0.00028	1678	0.00077
Streptococcus salivarius	1304	S	43	0.00198	113	0.00010	49	0.00165	1867	0.00093	48	0.00064	4674	0.00213
Lactobacillus amylovorus	1604	S	319	0.01472	5234	0.00475	294	0.00992	3914	0.00195	0	0.00000	2272	0.00104
Pediococcus acidilactici	1254	S	14	0.00065	157	0.00014	0	0.00000	212	0.00011	0	0.00000	308	0.00014
Collinsella aerofaciens	74426	S	4309	0.19877	105694	0.09587	15	0.00051	1937	0.00097	30	0.00040	3252	0.00149
Bacteroides finegoldii	338188	S	659	0.03040	19765	0.01793	6259	0.21121	666267	0.33261	30711	0.40670	659584	0.30121
Bacteroides sp. CACC 737	2755405	S	160	0.00738	2085	0.00189	167	0.00564	42458	0.02120	534	0.00707	6704	0.00306
Bacteroides uniformis	820	S	614	0.02832	3350	0.00304	57	0.00192	8564	0.00428	240	0.00318	4466	0.00204
Bacteroides fragilis	817	S	469	0.02163	70101	0.06359	1573	0.05308	190475	0.09509	1276	0.01690	27107	0.01238
Bacteroides thetaiotaomicron	818	S	522	0.02408	14971	0.01358	3593	0.12125	137600	0.06869	0	0.00000	2299	0.00105
Bacteroides ovatus	28116	S	207	0.00955	1123	0.00102	1107	0.03736	38701	0.01932	4329	0.05733	50480	0.02305
Phocaeicola vulgatus	821	S	210	0.00969	868	0.00079	0	0.00000	13634	0.00681	0	0.00000	1481	0.00068
Parabacteroides distasonis	823	S	962	0.04438	22892	0.02077	5144	0.17358	521966	0.26058	24067	0.31872	330300	0.15084
Segatella copri	165179	S	29	0.00134	9087	0.00824	263	0.00887	12715	0.00635	106	0.00140	840	0.00038
Escherichia coli	562	S	805	0.03713	120014	0.10886	546	0.01842	16609	0.00829	9052	0.11987	543581	0.24824
Klebsiella pneumoniae	573	S	1082	0.04991	55782	0.05060	124	0.00418	1595	0.00080	111	0.00147	5206	0.00238
Klebsiella variicola	244366	S	42	0.00194	4150	0.00376	0	0.00000	267	0.00013	0	0.00000	132	0.00006
Campylobacter coli	195	S	268	0.01236	8842	0.00802	280	0.00945	2906	0.00145	67	0.00089	2446	0.00112
Campylobacter jejuni	197	S	46	0.00212	17887	0.01623	104	0.00351	5489	0.00274	0	0.00000	2104	0.00096
Homo sapiens	9606	S	726	0.03349	20267	0.01838	689	0.02325	37954	0.01895	362	0.00479	43493	0.01986
Buorbuivirus hominis	2955559	S	640	0.02952	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aurodevirus hiberniae	2955382	S	194	0.00895	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kingevirus communis	2956060	S	306	0.01412	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Junduvirus communis	2956034	S	140	0.00646	16	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lahndsivirus rarus	2956099	S	261	0.01204	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kahnovirus copri	2956046	S	54	0.00249	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kolpuevirus hominis	2956064	S	41	0.00189	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Toutatisvirus toutatis	2734150	S	105	0.00484	1786	0.00162	0	0.00000	714	0.00036	0	0.00000	43	0.00002
Oengusvirus oengus	2734262	S	89	0.00411	811	0.00074	0	0.00000	197	0.00010	0	0.00000	0	0.00000
Taranisvirus taranis	2734146	S	17	0.00078	6390	0.00580	0	0.00000	20	0.00001	0	0.00000	0	0.00000
Vescimonas coprocola	2714355	S	0	0.00000	119	0.00011	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ruminococcus albus	1264	S	0	0.00000	350	0.00032	0	0.00000	109	0.00005	0	0.00000	24	0.00001
Flavonifractor plautii	292800	S	0	0.00000	36	0.00003	44	0.00148	721	0.00036	0	0.00000	86	0.00004
Anaerotruncus colihominis	169435	S	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium estertheticum	238834	S	0	0.00000	5210	0.00473	0	0.00000	1519	0.00076	0	0.00000	4098	0.00187
Clostridium butyricum	1492	S	0	0.00000	888	0.00081	0	0.00000	211	0.00011	0	0.00000	526	0.00024
Clostridium sp. M62/1	411486	S	0	0.00000	849	0.00077	0	0.00000	223	0.00011	0	0.00000	1430	0.00065
Clostridium sp. MT351	1195166	S	0	0.00000	300	0.00027	0	0.00000	82	0.00004	0	0.00000	331	0.00015
Clostridium botulinum	1491	S	0	0.00000	437	0.00040	0	0.00000	93	0.00005	0	0.00000	224	0.00010
Clostridium tagluense	360422	S	0	0.00000	81	0.00007	0	0.00000	0	0.00000	0	0.00000	17	0.00001
Clostridium septicum	1504	S	0	0.00000	58	0.00005	0	0.00000	0	0.00000	0	0.00000	36	0.00002
Clostridium felsineum	36839	S	0	0.00000	28	0.00003	0	0.00000	12	0.00001	0	0.00000	0	0.00000
Clostridium baratii	1561	S	0	0.00000	24	0.00002	0	0.00000	0	0.00000	0	0.00000	19	0.00001
Clostridium acetobutylicum	1488	S	0	0.00000	14	0.00001	0	0.00000	0	0.00000	0	0.00000	22	0.00001
Butyrivibrio fibrisolvens	831	S	0	0.00000	1247	0.00113	0	0.00000	1076	0.00054	0	0.00000	2255	0.00103
Butyrivibrio proteoclasticus	43305	S	0	0.00000	948	0.00086	0	0.00000	296	0.00015	0	0.00000	319	0.00015
Anaerobutyricum hallii	39488	S	0	0.00000	1429	0.00130	0	0.00000	66	0.00003	0	0.00000	31	0.00001
Mediterraneibacter gnavus	33038	S	0	0.00000	1074	0.00097	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sporofaciens musculi	2681861	S	0	0.00000	860	0.00078	0	0.00000	365	0.00018	0	0.00000	994	0.00045
Pseudobutyrivibrio xylanivorans	185007	S	0	0.00000	101	0.00009	0	0.00000	45	0.00002	0	0.00000	10	0.00000
Paraclostridium sordellii	1505	S	0	0.00000	139	0.00013	0	0.00000	89	0.00004	0	0.00000	820	0.00037
Peptoclostridium acidaminophilum	1731	S	0	0.00000	352	0.00032	0	0.00000	56	0.00003	0	0.00000	200	0.00009
Alkaliphilus sp. B6464	2731219	S	0	0.00000	23	0.00002	0	0.00000	19	0.00001	0	0.00000	164	0.00007
Bacillus thuringiensis	1428	S	0	0.00000	1058	0.00096	0	0.00000	265	0.00013	0	0.00000	872	0.00040
Bacillus cereus	1396	S	0	0.00000	247	0.00022	0	0.00000	172	0.00009	0	0.00000	373	0.00017
Bacillus mycoides	1405	S	0	0.00000	59	0.00005	0	0.00000	15	0.00001	0	0.00000	44	0.00002
Bacillus pacificus	2026187	S	0	0.00000	91	0.00008	0	0.00000	91	0.00005	0	0.00000	216	0.00010
Bacillus sp. N5-665	2925318	S	0	0.00000	644	0.00058	0	0.00000	178	0.00009	0	0.00000	788	0.00036
Bacillus sp. 31A1R	3098077	S	0	0.00000	270	0.00024	0	0.00000	47	0.00002	0	0.00000	18	0.00001
Bacillus subtilis	1423	S	0	0.00000	2891	0.00262	0	0.00000	904	0.00045	0	0.00000	1971	0.00090
Bacillus velezensis	492670	S	0	0.00000	96	0.00009	0	0.00000	25	0.00001	0	0.00000	169	0.00008
Peribacillus asahii	228899	S	0	0.00000	2114	0.00192	0	0.00000	830	0.00041	0	0.00000	1841	0.00084
Priestia megaterium	1404	S	0	0.00000	295	0.00027	0	0.00000	104	0.00005	0	0.00000	341	0.00016
Priestia aryabhattai	412384	S	0	0.00000	319	0.00029	0	0.00000	129	0.00006	0	0.00000	262	0.00012
Niallia taxi	2499688	S	0	0.00000	273	0.00025	0	0.00000	53	0.00003	0	0.00000	236	0.00011
Niallia sp. XMNu-256	3082444	S	0	0.00000	149	0.00014	0	0.00000	154	0.00008	0	0.00000	149	0.00007
Pontibacillus sp. ALD_SL1	2777185	S	0	0.00000	125	0.00011	0	0.00000	64	0.00003	0	0.00000	174	0.00008
Metabacillus sp. B2-18	2897333	S	0	0.00000	144	0.00013	0	0.00000	19	0.00001	0	0.00000	120	0.00005
Anoxybacillus amylolyticus	294699	S	0	0.00000	51	0.00005	0	0.00000	14	0.00001	0	0.00000	23	0.00001
Radiobacillus kanasensis	2844358	S	0	0.00000	34	0.00003	0	0.00000	70	0.00003	0	0.00000	91	0.00004
Mesobacillus foraminis	279826	S	0	0.00000	23	0.00002	0	0.00000	52	0.00003	0	0.00000	0	0.00000
Lysinibacillus fusiformis	28031	S	0	0.00000	12	0.00001	0	0.00000	17	0.00001	0	0.00000	43	0.00002
Rossellomorea marisflavi	189381	S	0	0.00000	20	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Parageobacillus thermoglucosidasius	1426	S	0	0.00000	51	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus polymyxa	1406	S	0	0.00000	3502	0.00318	0	0.00000	1123	0.00056	0	0.00000	1521	0.00069
Paenibacillus cellulosilyticus	375489	S	0	0.00000	826	0.00075	0	0.00000	360	0.00018	0	0.00000	396	0.00018
Paenibacillus urinalis	521520	S	0	0.00000	1707	0.00155	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus cellulositrophicus	562959	S	0	0.00000	133	0.00012	0	0.00000	45	0.00002	0	0.00000	20	0.00001
Paenibacillus sonchi	373687	S	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus elgii	189691	S	0	0.00000	69	0.00006	0	0.00000	0	0.00000	0	0.00000	1306	0.00060
Paenibacillus sp. IHB B 3084	867076	S	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Brevibacillus laterosporus	1465	S	0	0.00000	1481	0.00134	0	0.00000	871	0.00043	0	0.00000	1139	0.00052
Staphylococcus aureus	1280	S	0	0.00000	18310	0.01661	0	0.00000	4429	0.00221	0	0.00000	17307	0.00790
Staphylococcus equorum	246432	S	0	0.00000	741	0.00067	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Staphylococcus epidermidis	1282	S	0	0.00000	32	0.00003	0	0.00000	82	0.00004	0	0.00000	46	0.00002
Listeria monocytogenes	1639	S	0	0.00000	2150	0.00195	0	0.00000	1027	0.00051	0	0.00000	1981	0.00090
Listeria seeligeri	1640	S	0	0.00000	54	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Listeria innocua	1642	S	0	0.00000	65	0.00006	0	0.00000	62	0.00003	0	0.00000	262	0.00012
Planococcus donghaensis	414778	S	0	0.00000	131	0.00012	0	0.00000	0	0.00000	0	0.00000	641	0.00029
Exiguobacterium sp. N4-1P	2051906	S	0	0.00000	237	0.00021	0	0.00000	139	0.00007	0	0.00000	734	0.00034
Alicyclobacillus dauci	1475485	S	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	127	0.00006
Enterococcus sp. FDAARGOS_375	2060307	S	0	0.00000	361	0.00033	0	0.00000	330	0.00016	0	0.00000	68	0.00003
Enterococcus faecalis	1351	S	0	0.00000	7008	0.00636	0	0.00000	2658	0.00133	0	0.00000	3492	0.00159
Enterococcus hirae	1354	S	0	0.00000	408	0.00037	0	0.00000	670	0.00033	0	0.00000	224	0.00010
Enterococcus raffinosus	71452	S	0	0.00000	85	0.00008	0	0.00000	149	0.00007	0	0.00000	615	0.00028
Enterococcus gallinarum	1353	S	0	0.00000	101	0.00009	0	0.00000	182	0.00009	0	0.00000	331	0.00015
Enterococcus casseliflavus	37734	S	0	0.00000	350	0.00032	0	0.00000	323	0.00016	0	0.00000	136	0.00006
Enterococcus gilvus	160453	S	0	0.00000	30	0.00003	0	0.00000	12	0.00001	0	0.00000	122	0.00006
Latilactobacillus curvatus	28038	S	0	0.00000	1461	0.00133	0	0.00000	812	0.00041	0	0.00000	1156	0.00053
Levilactobacillus brevis	1580	S	0	0.00000	1513	0.00137	0	0.00000	329	0.00016	0	0.00000	216	0.00010
Ligilactobacillus salivarius	1624	S	0	0.00000	351	0.00032	0	0.00000	268	0.00013	19	0.00025	209	0.00010
Ligilactobacillus murinus	1622	S	0	0.00000	236	0.00021	0	0.00000	139	0.00007	0	0.00000	0	0.00000
Lactiplantibacillus plantarum	1590	S	0	0.00000	355	0.00032	0	0.00000	504	0.00025	0	0.00000	1092	0.00050
Limosilactobacillus reuteri	1598	S	0	0.00000	783	0.00071	0	0.00000	1560	0.00078	201	0.00266	4541	0.00207
Weissella cibaria	137591	S	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lactococcus cremoris	1359	S	0	0.00000	921	0.00084	0	0.00000	280	0.00014	0	0.00000	306	0.00014
Lactococcus lactis	1358	S	0	0.00000	94	0.00009	0	0.00000	505	0.00025	0	0.00000	141	0.00006
Lactococcus raffinolactis	1366	S	0	0.00000	32	0.00003	0	0.00000	655	0.00033	0	0.00000	142	0.00006
Streptococcus oralis	1303	S	0	0.00000	343	0.00031	24	0.00081	1698	0.00085	0	0.00000	1171	0.00053
Streptococcus sp. FDAARGOS_192	1839799	S	0	0.00000	41	0.00004	0	0.00000	245	0.00012	0	0.00000	235	0.00011
Streptococcus agalactiae	1311	S	0	0.00000	64	0.00006	0	0.00000	133	0.00007	0	0.00000	61	0.00003
Streptococcus suis	1307	S	0	0.00000	22	0.00002	0	0.00000	62	0.00003	0	0.00000	116	0.00005
Finegoldia magna	1260	S	0	0.00000	354	0.00032	0	0.00000	335	0.00017	0	0.00000	506	0.00023
Anaerococcus prevotii	33034	S	0	0.00000	123	0.00011	0	0.00000	15	0.00001	0	0.00000	33	0.00002
Anaerococcus degeneri	361500	S	0	0.00000	199	0.00018	0	0.00000	93	0.00005	0	0.00000	128	0.00006
Peptoniphilus asaccharolyticus	1258	S	0	0.00000	20	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Selenomonas ruminantium	971	S	0	0.00000	242	0.00022	0	0.00000	94	0.00005	0	0.00000	281	0.00013
Eggerthella lenta	84112	S	0	0.00000	174	0.00016	0	0.00000	474	0.00024	0	0.00000	0	0.00000
Glutamicibacter nicotianae	37929	S	0	0.00000	6708	0.00608	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Arthrobacter sp. StoSoilB13	2830993	S	0	0.00000	754	0.00068	0	0.00000	384	0.00019	0	0.00000	3721	0.00170
Arthrobacter sp. ERGS1:01	1704044	S	0	0.00000	161	0.00015	0	0.00000	139	0.00007	0	0.00000	2049	0.00094
Arthrobacter sp. FW306-05-C	2879620	S	0	0.00000	259	0.00023	0	0.00000	86	0.00004	0	0.00000	294	0.00013
Arthrobacter sp. zg-Y1110	2886932	S	0	0.00000	103	0.00009	0	0.00000	23	0.00001	0	0.00000	0	0.00000
Arthrobacter sp. FB24	290399	S	0	0.00000	1026	0.00093	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Arthrobacter sp. H16F315	2955314	S	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenarthrobacter sp. YJN-5	2735316	S	0	0.00000	179	0.00016	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Curtobacterium sp. MCSS17_016	2175644	S	0	0.00000	524	0.00048	0	0.00000	173	0.00009	0	0.00000	908	0.00041
Curtobacterium sp. MCBD17_040	2175674	S	0	0.00000	122	0.00011	0	0.00000	37	0.00002	0	0.00000	0	0.00000
Microbacterium sp. NIBRBAC000506063	2734618	S	0	0.00000	241	0.00022	0	0.00000	92	0.00005	0	0.00000	335	0.00015
Microbacterium sp. AISO3	2002831	S	0	0.00000	73	0.00007	0	0.00000	31	0.00002	0	0.00000	481	0.00022
Rathayibacter sp. VKM Ac-2760	2609253	S	0	0.00000	223	0.00020	0	0.00000	70	0.00003	0	0.00000	0	0.00000
Cellulomonas sp. WB94	2173174	S	0	0.00000	301	0.00027	0	0.00000	108	0.00005	0	0.00000	613	0.00028
Cellulomonas sp. C5510	2871170	S	0	0.00000	34	0.00003	0	0.00000	25	0.00001	0	0.00000	0	0.00000
Brachybacterium avium	2017485	S	0	0.00000	41	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Tsukamurella tyrosinosolvens	57704	S	0	0.00000	2630	0.00239	0	0.00000	3205	0.00160	0	0.00000	17431	0.00796
Corynebacterium striatum	43770	S	0	0.00000	12381	0.01123	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Nocardia farcinica	37329	S	0	0.00000	1811	0.00164	0	0.00000	696	0.00035	0	0.00000	4043	0.00185
Rhodococcus qingshengii	334542	S	0	0.00000	510	0.00046	0	0.00000	546	0.00027	0	0.00000	1326	0.00061
Rhodococcus sp. NBC_00297	2976005	S	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodococcus opacus	37919	S	0	0.00000	24	0.00002	0	0.00000	0	0.00000	0	0.00000	378	0.00017
Rhodococcus pyridinivorans	103816	S	0	0.00000	84	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mycobacterium intracellulare	1767	S	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium longum	216816	S	0	0.00000	5757	0.00522	206	0.00695	1934	0.00097	13	0.00017	2419	0.00110
Bifidobacterium breve	1685	S	0	0.00000	512	0.00046	0	0.00000	0	0.00000	0	0.00000	568	0.00026
Bifidobacterium catenulatum	1686	S	0	0.00000	71	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. BHT-5-2	2866715	S	0	0.00000	234	0.00021	0	0.00000	144	0.00007	0	0.00000	949	0.00043
Streptomyces sp. NBC_00841	2975847	S	0	0.00000	318	0.00029	0	0.00000	273	0.00014	0	0.00000	0	0.00000
Streptomyces sp. WAC07094	3072183	S	0	0.00000	89	0.00008	0	0.00000	35	0.00002	0	0.00000	13	0.00001
Streptomyces sp. ADI95-16	1522758	S	0	0.00000	703	0.00064	0	0.00000	190	0.00009	0	0.00000	0	0.00000
Streptomyces sp. ITFR-21	3075199	S	0	0.00000	81	0.00007	0	0.00000	37	0.00002	0	0.00000	0	0.00000
Streptomyces sp. NBC_01216	2903778	S	0	0.00000	68	0.00006	0	0.00000	35	0.00002	0	0.00000	0	0.00000
Streptomyces sp. NBC_00467	2975752	S	0	0.00000	36	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_01445	2903869	S	0	0.00000	127	0.00012	0	0.00000	0	0.00000	0	0.00000	1272	0.00058
Streptomyces sp. NBC_00212	2975684	S	0	0.00000	31	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. S501	2420135	S	0	0.00000	70	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_01237	2903790	S	0	0.00000	18	0.00002	0	0.00000	0	0.00000	0	0.00000	383	0.00017
Streptomyces sp. NBC_00184	2975673	S	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_01766	2975936	S	0	0.00000	344	0.00031	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_00704	2975809	S	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces rimosus	1927	S	0	0.00000	140	0.00013	0	0.00000	51	0.00003	0	0.00000	17	0.00001
Streptomyces fungicidicus	68203	S	0	0.00000	95	0.00009	0	0.00000	36	0.00002	0	0.00000	14	0.00001
Streptomyces clavuligerus	1901	S	0	0.00000	51	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces akebiae	2865673	S	0	0.00000	44	0.00004	0	0.00000	20	0.00001	0	0.00000	0	0.00000
Streptomyces zaomyceticus	68286	S	0	0.00000	22	0.00002	0	0.00000	12	0.00001	0	0.00000	0	0.00000
Streptomyces mirabilis	68239	S	0	0.00000	71	0.00006	0	0.00000	65	0.00003	0	0.00000	0	0.00000
Streptomyces albidoflavus	1886	S	0	0.00000	157	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces anthocyanicus	68174	S	0	0.00000	25	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kitasatospora sp. NBC_01300	2903574	S	0	0.00000	368	0.00033	0	0.00000	0	0.00000	0	0.00000	4547	0.00208
Kitasatospora sp. NBC_00039	2903565	S	0	0.00000	35	0.00003	0	0.00000	0	0.00000	0	0.00000	10	0.00000
Embleya sp. NBC_00888	2975960	S	0	0.00000	187	0.00017	0	0.00000	71	0.00004	0	0.00000	134	0.00006
Embleya sp. NBC_00896	2975961	S	0	0.00000	22	0.00002	0	0.00000	21	0.00001	0	0.00000	30	0.00001
Nonomuraea gerenzanensis	93944	S	0	0.00000	2150	0.00195	0	0.00000	1141	0.00057	0	0.00000	7247	0.00331
Spongiactinospora sp. TRM90649	3031114	S	0	0.00000	746	0.00068	0	0.00000	238	0.00012	0	0.00000	1289	0.00059
Actinomadura luzonensis	2805427	S	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cutibacterium acnes	1747	S	0	0.00000	6398	0.00580	0	0.00000	1277	0.00064	0	0.00000	3317	0.00151
Actinomyces oris	544580	S	0	0.00000	1902	0.00173	0	0.00000	570	0.00028	0	0.00000	2830	0.00129
Miltoncostaea oceani	2843216	S	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Deinococcus geothermalis	68909	S	0	0.00000	1195	0.00108	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Deinococcus sp. NW-56	2080419	S	0	0.00000	55	0.00005	0	0.00000	114	0.00006	0	0.00000	0	0.00000
Deinococcus sp. QL22	2939437	S	0	0.00000	28	0.00003	0	0.00000	15	0.00001	0	0.00000	0	0.00000
Deinococcus sp. KNUC1210	2917691	S	0	0.00000	16	0.00001	0	0.00000	12	0.00001	0	0.00000	16	0.00001
Deinococcus aetherius	200252	S	0	0.00000	90	0.00008	0	0.00000	47	0.00002	0	0.00000	0	0.00000
Deinococcus metallilatus	1211322	S	0	0.00000	68	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Deinococcus wulumuqiensis	980427	S	0	0.00000	35	0.00003	0	0.00000	131	0.00007	0	0.00000	0	0.00000
Deinococcus ficus	317577	S	0	0.00000	13	0.00001	0	0.00000	12	0.00001	0	0.00000	25	0.00001
Deinococcus psychrotolerans	2489213	S	0	0.00000	11	0.00001	0	0.00000	16	0.00001	0	0.00000	0	0.00000
Thermus thermophilus	274	S	0	0.00000	33	0.00003	0	0.00000	26	0.00001	0	0.00000	0	0.00000
Meiothermus taiwanensis	172827	S	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Leptolyngbya boryana	1184	S	0	0.00000	1245	0.00113	0	0.00000	420	0.00021	0	0.00000	1585	0.00072
Allocoleopsis franciscana	2886352	S	0	0.00000	115	0.00010	0	0.00000	79	0.00004	0	0.00000	111	0.00005
Nostoc sp. C052	2576902	S	0	0.00000	20	0.00002	0	0.00000	14	0.00001	0	0.00000	16	0.00001
Nostoc commune	1178	S	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Anabaena sp. PCC 7938	1296340	S	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	40	0.00002
Acaryochloris marina	155978	S	0	0.00000	16	0.00001	0	0.00000	0	0.00000	0	0.00000	13	0.00001
Mycoplasmopsis gallopavonis	76629	S	0	0.00000	561	0.00051	0	0.00000	149	0.00007	0	0.00000	0	0.00000
Mycoplasmopsis cynos	171284	S	0	0.00000	109	0.00010	0	0.00000	84	0.00004	0	0.00000	35	0.00002
Metamycoplasma salivarium	2124	S	0	0.00000	290	0.00026	0	0.00000	72	0.00004	0	0.00000	77	0.00004
Mesomycoplasma hyorhinis	2100	S	0	0.00000	432	0.00039	0	0.00000	303	0.00015	0	0.00000	364	0.00017
Thermomicrobium roseum	500	S	0	0.00000	62	0.00006	0	0.00000	18	0.00001	0	0.00000	14	0.00001
Escherichia fergusonii	564	S	0	0.00000	153	0.00014	0	0.00000	87	0.00004	38	0.00050	3355	0.00153
Escherichia albertii	208962	S	0	0.00000	29	0.00003	0	0.00000	0	0.00000	0	0.00000	139	0.00006
Klebsiella oxytoca	571	S	0	0.00000	1308	0.00119	0	0.00000	47	0.00002	18	0.00024	3871	0.00177
Klebsiella quasipneumoniae	1463165	S	0	0.00000	215	0.00020	0	0.00000	0	0.00000	0	0.00000	52	0.00002
Klebsiella michiganensis	1134687	S	0	0.00000	127	0.00012	0	0.00000	56	0.00003	0	0.00000	130	0.00006
Raoultella ornithinolytica	54291	S	0	0.00000	55	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Raoultella sp. HC6	2923366	S	0	0.00000	12	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter hormaechei	158836	S	0	0.00000	808	0.00073	535	0.01805	2679	0.00134	68	0.00090	5638	0.00257
Enterobacter asburiae	61645	S	0	0.00000	172	0.00016	0	0.00000	48	0.00002	0	0.00000	52	0.00002
